,box,angry,disgust,fear,happy,sad,surprise,neutral
72,"[638, 341, 170, 211]",0.15,0.0,0.09,0.21,0.36,0.02,0.17
73,"[612, 310, 198, 260]",0.08,0.0,0.06,0.48,0.22,0.01,0.15
74,"[664, 312, 202, 253]",0.09,0.0,0.05,0.51,0.19,0.01,0.15
75,"[668, 306, 202, 254]",0.07,0.0,0.07,0.52,0.16,0.01,0.17
76,"[625, 341, 207, 256]",0.02,0.0,0.02,0.86,0.06,0.0,0.04
77,"[611, 310, 211, 266]",0.01,0.0,0.01,0.92,0.03,0.0,0.03
78,"[609, 309, 209, 263]",0.03,0.0,0.02,0.75,0.11,0.0,0.08
79,"[646, 342, 205, 258]",0.05,0.0,0.07,0.61,0.2,0.01,0.07
80,"[645, 340, 210, 263]",0.04,0.0,0.03,0.75,0.12,0.0,0.06
81,"[648, 342, 207, 257]",0.05,0.0,0.04,0.68,0.13,0.01,0.09
82,"[619, 300, 207, 266]",0.03,0.0,0.02,0.78,0.08,0.0,0.08
83,"[618, 299, 209, 269]",0.02,0.0,0.02,0.8,0.06,0.0,0.1
84,"[628, 313, 198, 258]",0.03,0.0,0.03,0.78,0.06,0.01,0.1
85,"[630, 311, 199, 265]",0.03,0.0,0.04,0.68,0.09,0.01,0.16
86,"[626, 321, 203, 264]",0.05,0.0,0.04,0.73,0.06,0.01,0.11
87,"[623, 324, 199, 262]",0.04,0.0,0.06,0.59,0.1,0.01,0.2
88,"[618, 333, 215, 264]",0.04,0.0,0.05,0.54,0.19,0.01,0.16
89,"[615, 334, 212, 265]",0.03,0.0,0.04,0.64,0.16,0.0,0.12
90,"[617, 342, 206, 258]",0.04,0.0,0.04,0.63,0.16,0.01,0.13
91,"[617, 341, 207, 262]",0.06,0.0,0.06,0.44,0.23,0.01,0.19
92,"[613, 339, 211, 266]",0.04,0.0,0.05,0.53,0.16,0.01,0.21
93,"[612, 336, 214, 268]",0.05,0.0,0.06,0.44,0.23,0.01,0.22
94,"[1206, 164, 30, 42]",0.17,0.02,0.16,0.05,0.33,0.06,0.2
95,"[545, 287, 240, 314]",0.02,0.0,0.05,0.5,0.22,0.0,0.19
96,"[556, 305, 230, 300]",0.02,0.0,0.05,0.5,0.2,0.01,0.22
97,"[561, 306, 229, 300]",0.05,0.0,0.06,0.34,0.31,0.01,0.24
98,"[561, 306, 229, 301]",0.02,0.0,0.04,0.64,0.15,0.01,0.16
99,"[568, 316, 210, 273]",0.04,0.0,0.09,0.38,0.18,0.01,0.29
100,"[569, 316, 207, 268]",0.03,0.0,0.09,0.33,0.19,0.01,0.35
101,"[568, 322, 207, 263]",0.04,0.0,0.04,0.6,0.15,0.01,0.16
102,"[569, 319, 207, 266]",0.04,0.0,0.04,0.55,0.18,0.01,0.19
103,"[605, 308, 213, 280]",0.04,0.0,0.05,0.57,0.14,0.01,0.19
104,"[616, 310, 206, 271]",0.05,0.0,0.11,0.49,0.13,0.02,0.19
105,"[613, 312, 210, 270]",0.03,0.0,0.05,0.62,0.12,0.01,0.17
106,"[613, 307, 211, 276]",0.04,0.0,0.09,0.55,0.13,0.01,0.18
107,"[634, 314, 208, 265]",0.05,0.0,0.15,0.23,0.17,0.03,0.35
108,"[636, 312, 209, 268]",0.06,0.0,0.14,0.31,0.13,0.01,0.35
109,"[626, 305, 202, 259]",0.03,0.0,0.05,0.61,0.1,0.01,0.2
110,"[625, 310, 198, 255]",0.03,0.0,0.06,0.54,0.13,0.01,0.23
111,"[622, 307, 202, 262]",0.05,0.0,0.11,0.39,0.14,0.01,0.3
112,"[624, 307, 203, 263]",0.05,0.0,0.12,0.42,0.19,0.01,0.21
113,"[630, 311, 201, 258]",0.04,0.0,0.06,0.58,0.09,0.01,0.22
114,"[630, 306, 204, 264]",0.02,0.0,0.04,0.69,0.1,0.01,0.14
115,"[634, 311, 200, 258]",0.03,0.0,0.08,0.14,0.26,0.01,0.48
116,"[633, 309, 202, 264]",0.02,0.0,0.08,0.42,0.17,0.01,0.31
117,"[633, 312, 204, 263]",0.02,0.0,0.08,0.43,0.19,0.01,0.26
118,"[652, 312, 204, 261]",0.04,0.0,0.06,0.5,0.14,0.01,0.25
119,"[658, 317, 200, 250]",0.06,0.0,0.11,0.28,0.24,0.01,0.29
120,"[660, 318, 199, 253]",0.1,0.0,0.11,0.2,0.22,0.02,0.36
121,"[658, 318, 200, 252]",0.06,0.0,0.07,0.6,0.11,0.01,0.15
