,box,angry,disgust,fear,happy,sad,surprise,neutral
0,"[632, 222, 199, 246]",0.03,0.0,0.13,0.38,0.16,0.01,0.3
1,"[1167, 340, 26, 33]",0.14,0.0,0.1,0.11,0.4,0.06,0.18
2,"[641, 183, 222, 273]",0.06,0.0,0.17,0.36,0.21,0.01,0.2
3,"[648, 187, 224, 277]",0.05,0.0,0.14,0.47,0.17,0.01,0.17
4,"[651, 190, 224, 278]",0.07,0.0,0.13,0.42,0.17,0.02,0.19
5,"[1171, 304, 17, 25]",0.14,0.01,0.16,0.17,0.2,0.08,0.23
6,"[635, 243, 197, 244]",0.05,0.0,0.13,0.48,0.16,0.0,0.19
7,"[652, 212, 201, 252]",0.04,0.0,0.15,0.39,0.15,0.02,0.24
8,"[655, 202, 206, 254]",0.05,0.0,0.12,0.28,0.19,0.01,0.35
9,"[650, 185, 227, 279]",0.05,0.0,0.23,0.26,0.19,0.01,0.25
10,"[652, 179, 231, 286]",0.06,0.0,0.19,0.25,0.21,0.02,0.26
11,"[655, 178, 229, 285]",0.05,0.0,0.15,0.29,0.21,0.01,0.29
12,"[635, 174, 230, 291]",0.06,0.0,0.24,0.3,0.19,0.01,0.21
13,"[586, 207, 199, 248]",0.06,0.0,0.17,0.41,0.11,0.01,0.24
14,"[634, 240, 200, 243]",0.06,0.0,0.18,0.36,0.19,0.0,0.21
15,"[637, 242, 192, 236]",0.04,0.0,0.13,0.5,0.14,0.0,0.19
16,"[637, 243, 188, 234]",0.06,0.0,0.17,0.44,0.16,0.01,0.16
17,"[631, 238, 197, 242]",0.06,0.0,0.15,0.41,0.19,0.0,0.19
18,"[632, 242, 185, 231]",0.05,0.0,0.2,0.42,0.1,0.01,0.22
19,"[675, 226, 197, 246]",0.02,0.0,0.1,0.4,0.17,0.0,0.3
20,"[689, 228, 190, 236]",0.03,0.0,0.12,0.42,0.12,0.03,0.29
21,"[694, 226, 192, 237]",0.02,0.0,0.12,0.43,0.14,0.03,0.24
22,"[685, 217, 204, 251]",0.02,0.0,0.09,0.26,0.16,0.03,0.43
23,"[626, 248, 194, 234]",0.05,0.0,0.11,0.31,0.21,0.0,0.31
24,"[961, 647, 20, 29]",0.36,0.02,0.1,0.04,0.24,0.14,0.1
25,"[630, 218, 200, 250]",0.03,0.0,0.19,0.39,0.13,0.01,0.25
26,"[634, 223, 198, 250]",0.04,0.0,0.18,0.32,0.18,0.01,0.27
27,"[633, 214, 207, 257]",0.05,0.0,0.21,0.26,0.21,0.0,0.27
28,"[657, 172, 205, 256]",0.07,0.0,0.13,0.35,0.21,0.01,0.23
29,"[650, 182, 280, 342]",0.11,0.0,0.13,0.34,0.2,0.0,0.22
30,"[630, 250, 192, 232]",0.09,0.0,0.2,0.27,0.21,0.01,0.21
31,"[678, 253, 194, 237]",0.03,0.0,0.1,0.32,0.25,0.01,0.3
32,"[678, 254, 193, 236]",0.03,0.0,0.13,0.33,0.19,0.01,0.32
33,"[673, 254, 195, 239]",0.02,0.0,0.15,0.22,0.24,0.0,0.38
34,"[648, 255, 195, 236]",0.04,0.0,0.15,0.25,0.25,0.0,0.32
35,"[644, 256, 193, 234]",0.06,0.0,0.17,0.32,0.24,0.0,0.21
36,"[637, 250, 198, 240]",0.04,0.0,0.16,0.35,0.21,0.0,0.23
37,"[636, 252, 196, 239]",0.06,0.0,0.2,0.36,0.2,0.0,0.18
38,"[635, 252, 192, 235]",0.04,0.0,0.14,0.54,0.11,0.0,0.17
39,"[630, 256, 188, 231]",0.05,0.0,0.21,0.37,0.15,0.01,0.22
40,"[629, 256, 187, 230]",0.05,0.0,0.19,0.41,0.14,0.01,0.2
41,"[628, 243, 202, 245]",0.05,0.0,0.17,0.37,0.24,0.0,0.17
42,"[634, 240, 198, 243]",0.06,0.0,0.23,0.35,0.19,0.01,0.16
43,"[703, 255, 234, 273]",0.06,0.0,0.15,0.24,0.36,0.01,0.19
44,"[593, 239, 194, 242]",0.08,0.0,0.18,0.3,0.16,0.01,0.26
45,"[638, 262, 194, 236]",0.05,0.0,0.14,0.37,0.2,0.0,0.23
46,"[637, 259, 193, 239]",0.05,0.0,0.17,0.37,0.21,0.0,0.19
47,"[584, 219, 198, 247]",0.07,0.0,0.16,0.36,0.15,0.01,0.25
48,"[640, 163, 268, 311]",0.04,0.0,0.2,0.33,0.17,0.0,0.26
49,"[657, 159, 266, 313]",0.04,0.0,0.17,0.28,0.19,0.0,0.33
50,"[691, 166, 242, 291]",0.06,0.0,0.13,0.41,0.16,0.0,0.24
51,"[770, 150, 266, 327]",0.03,0.0,0.11,0.12,0.47,0.01,0.26
52,"[772, 147, 265, 324]",0.02,0.0,0.1,0.17,0.28,0.01,0.43
53,"[722, 150, 265, 319]",0.03,0.0,0.1,0.38,0.29,0.0,0.19
54,"[697, 153, 247, 304]",0.03,0.0,0.18,0.18,0.29,0.01,0.32
55,"[698, 155, 245, 302]",0.03,0.0,0.18,0.23,0.24,0.0,0.32
56,"[714, 147, 289, 354]",0.02,0.0,0.04,0.49,0.11,0.0,0.34
57,"[627, 248, 201, 248]",0.05,0.0,0.18,0.3,0.2,0.0,0.26
58,"[632, 246, 202, 250]",0.05,0.0,0.23,0.33,0.19,0.01,0.2
59,"[637, 246, 202, 247]",0.03,0.0,0.2,0.34,0.21,0.0,0.22
60,"[677, 241, 201, 251]",0.03,0.0,0.16,0.27,0.26,0.01,0.27
