,box,angry,disgust,fear,happy,sad,surprise,neutral
0,"[415, 258, 204, 248]",0.04,0.0,0.02,0.0,0.09,0.01,0.84
1,"[415, 258, 206, 249]",0.04,0.0,0.02,0.0,0.15,0.0,0.78
2,"[416, 258, 206, 250]",0.07,0.0,0.02,0.0,0.2,0.0,0.71
3,"[417, 258, 206, 250]",0.06,0.0,0.02,0.0,0.21,0.0,0.7
4,"[417, 260, 205, 247]",0.05,0.0,0.02,0.0,0.17,0.0,0.75
5,"[417, 258, 206, 251]",0.07,0.0,0.02,0.0,0.19,0.0,0.72
6,"[418, 260, 203, 247]",0.06,0.0,0.02,0.0,0.15,0.0,0.77
7,"[418, 260, 203, 246]",0.06,0.0,0.02,0.0,0.17,0.0,0.74
8,"[418, 260, 204, 246]",0.08,0.0,0.02,0.0,0.18,0.0,0.71
9,"[418, 259, 204, 247]",0.07,0.0,0.02,0.0,0.2,0.0,0.7
10,"[417, 260, 205, 247]",0.05,0.0,0.02,0.0,0.17,0.0,0.77
11,"[419, 260, 204, 245]",0.07,0.0,0.02,0.0,0.15,0.0,0.76
12,"[419, 261, 204, 245]",0.04,0.0,0.02,0.0,0.14,0.0,0.8
13,"[418, 251, 207, 256]",0.08,0.0,0.01,0.0,0.17,0.0,0.73
14,"[420, 260, 204, 245]",0.06,0.0,0.02,0.0,0.15,0.0,0.76
15,"[419, 260, 204, 246]",0.07,0.0,0.02,0.0,0.16,0.0,0.75
16,"[419, 250, 207, 257]",0.05,0.0,0.01,0.0,0.2,0.0,0.74
17,"[420, 250, 207, 256]",0.03,0.0,0.01,0.0,0.11,0.0,0.85
18,"[422, 259, 202, 244]",0.07,0.0,0.02,0.0,0.21,0.0,0.71
19,"[419, 260, 204, 245]",0.12,0.0,0.03,0.0,0.17,0.0,0.67
20,"[418, 261, 201, 245]",0.06,0.0,0.04,0.0,0.18,0.01,0.71
21,"[419, 263, 203, 245]",0.07,0.0,0.03,0.0,0.16,0.0,0.73
22,"[419, 255, 206, 252]",0.09,0.0,0.03,0.0,0.19,0.0,0.7
23,"[421, 253, 207, 255]",0.07,0.0,0.03,0.0,0.17,0.0,0.73
24,"[421, 253, 207, 255]",0.1,0.0,0.02,0.0,0.18,0.0,0.7
25,"[421, 252, 209, 256]",0.1,0.0,0.02,0.0,0.27,0.0,0.61
26,"[419, 252, 209, 257]",0.11,0.0,0.02,0.0,0.22,0.0,0.65
27,"[418, 252, 210, 257]",0.14,0.0,0.02,0.0,0.24,0.0,0.61
28,"[419, 250, 209, 258]",0.09,0.0,0.01,0.0,0.14,0.0,0.75
29,"[421, 252, 207, 257]",0.08,0.0,0.01,0.0,0.17,0.0,0.74
30,"[421, 256, 206, 251]",0.07,0.0,0.03,0.0,0.12,0.01,0.76
31,"[424, 258, 205, 249]",0.05,0.0,0.03,0.0,0.11,0.03,0.78
