,box,angry,disgust,fear,happy,sad,surprise,neutral
0,"[1207, 260, 23, 33]",0.06,0.0,0.18,0.16,0.33,0.11,0.17
1,"[1203, 251, 27, 31]",0.18,0.02,0.1,0.16,0.16,0.06,0.33
2,"[1063, 689, 22, 29]",0.16,0.0,0.06,0.12,0.22,0.03,0.4
3,"[1043, 667, 22, 28]",0.44,0.01,0.22,0.1,0.11,0.03,0.09
4,"[1211, 256, 21, 30]",0.12,0.01,0.09,0.09,0.28,0.08,0.33
5,"[1042, 669, 22, 25]",0.49,0.01,0.1,0.08,0.18,0.02,0.13
6,"[1049, 682, 24, 28]",0.15,0.0,0.19,0.13,0.41,0.03,0.09
7,"[1048, 673, 26, 33]",0.11,0.0,0.13,0.12,0.22,0.06,0.36
8,"[1206, 315, 32, 47]",0.12,0.0,0.12,0.08,0.51,0.04,0.13
9,"[1206, 257, 24, 33]",0.08,0.02,0.22,0.07,0.17,0.23,0.22
10,"[1058, 681, 21, 26]",0.13,0.0,0.14,0.07,0.54,0.01,0.11
11,"[1212, 323, 23, 34]",0.08,0.01,0.07,0.2,0.23,0.06,0.36
12,"[628, 136, 226, 285]",0.04,0.0,0.12,0.34,0.21,0.0,0.3
13,"[629, 138, 224, 282]",0.05,0.0,0.11,0.33,0.19,0.0,0.31
14,"[561, 8, 278, 370]",0.2,0.0,0.19,0.18,0.17,0.01,0.25
15,"[556, 26, 270, 361]",0.15,0.0,0.18,0.33,0.15,0.01,0.18
16,"[1081, 678, 38, 44]",0.14,0.0,0.13,0.25,0.17,0.03,0.29
17,"[580, 79, 268, 333]",0.1,0.0,0.24,0.23,0.19,0.01,0.23
18,"[587, 82, 262, 325]",0.09,0.0,0.18,0.22,0.27,0.0,0.24
19,"[593, 84, 260, 321]",0.07,0.0,0.12,0.23,0.26,0.0,0.32
20,"[1083, 683, 24, 31]",0.11,0.0,0.14,0.05,0.54,0.02,0.14
21,"[1182, 664, 41, 47]",0.35,0.0,0.04,0.16,0.24,0.03,0.18
22,"[1207, 311, 26, 39]",0.35,0.02,0.09,0.04,0.24,0.04,0.21
23,"[1053, 671, 26, 31]",0.26,0.0,0.13,0.21,0.23,0.04,0.13
24,"[1200, 252, 31, 42]",0.12,0.0,0.09,0.16,0.3,0.05,0.27
25,"[1116, 666, 32, 36]",0.29,0.0,0.1,0.16,0.08,0.11,0.26
26,"[1100, 688, 25, 32]",0.16,0.0,0.06,0.17,0.33,0.01,0.26
27,"[682, 53, 220, 280]",0.14,0.0,0.2,0.26,0.16,0.01,0.22
28,"[683, 47, 224, 279]",0.1,0.0,0.17,0.38,0.17,0.01,0.18
29,"[1093, 670, 20, 23]",0.28,0.0,0.15,0.15,0.2,0.1,0.13
30,"[676, 71, 260, 321]",0.09,0.0,0.13,0.29,0.25,0.0,0.24
31,"[1205, 254, 28, 38]",0.23,0.01,0.14,0.07,0.27,0.05,0.22
32,"[1206, 303, 27, 43]",0.08,0.0,0.12,0.05,0.42,0.05,0.28
