,box,angry,disgust,fear,happy,sad,surprise,neutral
0,"[470, 338, 189, 225]",0.03,0.0,0.01,0.76,0.12,0.0,0.08
1,"[470, 338, 190, 225]",0.02,0.0,0.01,0.73,0.1,0.0,0.13
2,"[468, 337, 191, 227]",0.05,0.0,0.01,0.7,0.16,0.0,0.08
3,"[465, 337, 193, 230]",0.03,0.0,0.01,0.79,0.08,0.0,0.09
4,"[463, 338, 193, 231]",0.06,0.0,0.01,0.73,0.09,0.0,0.11
5,"[462, 339, 191, 229]",0.04,0.0,0.01,0.85,0.04,0.01,0.05
6,"[461, 338, 192, 231]",0.04,0.0,0.01,0.78,0.07,0.01,0.1
7,"[462, 339, 191, 229]",0.06,0.0,0.01,0.73,0.08,0.01,0.12
8,"[461, 340, 190, 231]",0.03,0.0,0.01,0.75,0.06,0.01,0.14
9,"[461, 339, 191, 231]",0.04,0.0,0.01,0.75,0.06,0.0,0.13
10,"[462, 340, 192, 231]",0.03,0.0,0.02,0.52,0.14,0.01,0.28
11,"[460, 340, 193, 231]",0.06,0.0,0.02,0.57,0.12,0.01,0.22
12,"[460, 338, 193, 233]",0.06,0.0,0.02,0.52,0.13,0.01,0.27
13,"[459, 341, 191, 230]",0.1,0.0,0.01,0.44,0.2,0.01,0.23
14,"[459, 340, 191, 231]",0.12,0.0,0.01,0.47,0.17,0.01,0.23
15,"[459, 342, 191, 230]",0.09,0.0,0.01,0.51,0.2,0.01,0.19
16,"[458, 342, 191, 230]",0.11,0.0,0.01,0.37,0.19,0.01,0.32
17,"[457, 340, 190, 232]",0.19,0.0,0.01,0.38,0.19,0.01,0.23
18,"[455, 339, 191, 234]",0.23,0.0,0.01,0.24,0.2,0.01,0.31
19,"[456, 340, 190, 233]",0.22,0.0,0.02,0.23,0.24,0.01,0.27
20,"[456, 341, 190, 233]",0.17,0.0,0.01,0.45,0.16,0.01,0.21
21,"[456, 341, 190, 231]",0.19,0.0,0.02,0.32,0.21,0.01,0.25
22,"[456, 341, 189, 233]",0.17,0.0,0.02,0.37,0.19,0.01,0.26
23,"[455, 341, 190, 230]",0.17,0.0,0.02,0.29,0.2,0.01,0.31
24,"[457, 347, 194, 235]",0.05,0.0,0.02,0.68,0.1,0.03,0.13
25,"[456, 340, 189, 232]",0.16,0.0,0.03,0.21,0.33,0.01,0.27
26,"[458, 347, 193, 235]",0.06,0.0,0.03,0.59,0.12,0.02,0.18
27,"[459, 347, 191, 234]",0.06,0.0,0.02,0.52,0.21,0.03,0.16
28,"[457, 347, 193, 235]",0.06,0.0,0.03,0.42,0.22,0.01,0.26
29,"[453, 337, 189, 237]",0.17,0.0,0.04,0.28,0.27,0.01,0.24
30,"[456, 345, 194, 237]",0.05,0.0,0.02,0.69,0.09,0.01,0.13
31,"[455, 343, 195, 238]",0.06,0.0,0.04,0.58,0.12,0.01,0.19
32,"[457, 345, 193, 234]",0.07,0.0,0.03,0.62,0.08,0.01,0.18
33,"[457, 345, 193, 235]",0.07,0.0,0.03,0.64,0.08,0.01,0.17
34,"[456, 345, 195, 235]",0.07,0.0,0.03,0.65,0.06,0.02,0.18
35,"[457, 345, 193, 236]",0.06,0.0,0.02,0.62,0.06,0.02,0.22
36,"[458, 346, 191, 234]",0.08,0.0,0.03,0.64,0.08,0.02,0.15
37,"[457, 347, 192, 233]",0.07,0.0,0.04,0.66,0.07,0.01,0.15
38,"[459, 348, 190, 232]",0.09,0.0,0.03,0.55,0.09,0.03,0.21
39,"[459, 344, 193, 237]",0.09,0.0,0.04,0.61,0.13,0.03,0.1
40,"[463, 345, 192, 235]",0.06,0.0,0.04,0.44,0.14,0.02,0.29
41,"[1020, 94, 51, 60]",0.01,0.0,0.02,0.72,0.02,0.14,0.1
42,"[455, 348, 193, 233]",0.14,0.0,0.06,0.42,0.16,0.02,0.2
43,"[454, 348, 193, 232]",0.12,0.0,0.05,0.52,0.1,0.03,0.18
44,"[452, 348, 194, 233]",0.1,0.0,0.05,0.46,0.12,0.04,0.24
45,"[452, 347, 193, 232]",0.07,0.0,0.04,0.5,0.11,0.01,0.26
46,"[451, 348, 193, 231]",0.06,0.0,0.04,0.66,0.09,0.01,0.14
47,"[452, 347, 194, 233]",0.08,0.0,0.05,0.47,0.13,0.01,0.26
48,"[452, 345, 195, 235]",0.05,0.0,0.06,0.48,0.12,0.01,0.28
49,"[452, 346, 195, 235]",0.06,0.0,0.07,0.45,0.12,0.01,0.29
50,"[1020, 96, 47, 60]",0.03,0.0,0.03,0.75,0.05,0.02,0.12
51,"[1020, 95, 47, 57]",0.02,0.0,0.01,0.86,0.01,0.05,0.06
52,"[1020, 94, 49, 57]",0.0,0.0,0.01,0.92,0.0,0.04,0.02
53,"[1019, 94, 50, 59]",0.03,0.0,0.03,0.7,0.02,0.17,0.05
54,"[1094, 70, 38, 48]",0.4,0.0,0.06,0.05,0.22,0.02,0.23
55,"[1095, 69, 39, 49]",0.53,0.0,0.04,0.08,0.15,0.05,0.16
56,"[1099, 69, 36, 49]",0.35,0.0,0.11,0.01,0.19,0.06,0.29
57,"[1019, 93, 51, 61]",0.03,0.0,0.02,0.73,0.04,0.07,0.11
58,"[1096, 69, 38, 48]",0.3,0.0,0.07,0.07,0.37,0.02,0.17
59,"[1021, 95, 47, 56]",0.01,0.0,0.0,0.91,0.01,0.01,0.04
60,"[1020, 93, 49, 59]",0.06,0.0,0.01,0.62,0.04,0.05,0.21
61,"[1021, 94, 47, 57]",0.01,0.0,0.01,0.89,0.01,0.03,0.05
62,"[1093, 67, 40, 49]",0.33,0.0,0.07,0.04,0.35,0.02,0.2
63,"[1096, 69, 36, 48]",0.29,0.0,0.06,0.05,0.17,0.04,0.37
64,"[1021, 95, 47, 57]",0.02,0.0,0.01,0.86,0.01,0.04,0.06
65,"[1098, 70, 36, 47]",0.41,0.0,0.04,0.08,0.19,0.04,0.25
66,"[1099, 71, 34, 46]",0.32,0.0,0.17,0.06,0.26,0.04,0.15
67,"[1019, 95, 49, 57]",0.01,0.0,0.01,0.87,0.01,0.05,0.05
68,"[1020, 93, 49, 59]",0.01,0.0,0.02,0.8,0.01,0.07,0.08
69,"[1021, 95, 47, 56]",0.01,0.0,0.01,0.95,0.0,0.02,0.02
70,"[1097, 69, 36, 49]",0.23,0.0,0.08,0.14,0.24,0.06,0.24
71,"[1094, 69, 39, 50]",0.18,0.0,0.13,0.15,0.31,0.02,0.21
72,"[1021, 96, 46, 56]",0.05,0.0,0.02,0.65,0.03,0.15,0.11
73,"[1094, 69, 39, 48]",0.32,0.0,0.1,0.06,0.19,0.11,0.21
74,"[426, 334, 191, 236]",0.02,0.0,0.02,0.72,0.07,0.03,0.14
75,"[426, 335, 191, 236]",0.02,0.0,0.02,0.73,0.07,0.02,0.15
76,"[425, 336, 193, 236]",0.02,0.0,0.02,0.75,0.06,0.03,0.12
77,"[428, 337, 190, 233]",0.02,0.0,0.04,0.63,0.09,0.02,0.2
78,"[1021, 97, 46, 56]",0.03,0.0,0.02,0.69,0.04,0.02,0.19
79,"[1097, 68, 38, 50]",0.22,0.0,0.07,0.02,0.28,0.03,0.38
80,"[1021, 97, 45, 55]",0.04,0.0,0.02,0.69,0.04,0.05,0.18
81,"[1019, 94, 50, 60]",0.02,0.0,0.01,0.81,0.02,0.03,0.11
82,"[1021, 96, 45, 53]",0.03,0.0,0.01,0.73,0.02,0.07,0.14
83,"[1019, 94, 51, 59]",0.02,0.0,0.01,0.84,0.01,0.05,0.06
84,"[1021, 95, 47, 57]",0.02,0.0,0.0,0.87,0.01,0.04,0.07
85,"[429, 339, 187, 225]",0.19,0.0,0.1,0.31,0.15,0.01,0.24
86,"[446, 330, 191, 232]",0.07,0.0,0.07,0.33,0.19,0.0,0.33
87,"[463, 332, 189, 225]",0.1,0.0,0.04,0.45,0.3,0.01,0.1
88,"[487, 340, 179, 218]",0.02,0.0,0.01,0.82,0.07,0.01,0.07
89,"[494, 335, 183, 223]",0.02,0.0,0.01,0.65,0.1,0.01,0.22
90,"[496, 334, 184, 226]",0.03,0.0,0.02,0.49,0.09,0.02,0.34
91,"[491, 331, 186, 229]",0.01,0.0,0.01,0.71,0.04,0.01,0.22
92,"[495, 333, 183, 224]",0.01,0.0,0.01,0.59,0.07,0.01,0.31
93,"[500, 333, 186, 225]",0.02,0.0,0.02,0.42,0.13,0.01,0.39
94,"[513, 338, 177, 217]",0.02,0.0,0.02,0.34,0.15,0.01,0.45
95,"[519, 340, 175, 215]",0.03,0.0,0.02,0.41,0.15,0.01,0.38
96,"[514, 331, 186, 231]",0.03,0.0,0.02,0.4,0.11,0.01,0.42
97,"[515, 333, 185, 230]",0.04,0.0,0.03,0.43,0.15,0.02,0.34
