,box,angry,disgust,fear,happy,sad,surprise,neutral
0,"[709, 264, 187, 235]",0.02,0.0,0.18,0.26,0.22,0.01,0.31
1,"[706, 259, 187, 240]",0.02,0.0,0.18,0.43,0.12,0.02,0.23
2,"[706, 259, 184, 237]",0.02,0.0,0.12,0.48,0.12,0.02,0.25
3,"[705, 258, 185, 237]",0.02,0.0,0.18,0.37,0.14,0.03,0.27
4,"[705, 260, 182, 232]",0.02,0.0,0.15,0.34,0.15,0.02,0.31
5,"[703, 260, 181, 229]",0.04,0.0,0.21,0.27,0.21,0.02,0.25
6,"[700, 264, 180, 224]",0.03,0.0,0.14,0.35,0.18,0.01,0.29
7,"[712, 267, 183, 231]",0.02,0.0,0.13,0.32,0.23,0.01,0.29
8,"[702, 200, 208, 262]",0.02,0.0,0.14,0.4,0.14,0.01,0.29
9,"[711, 257, 186, 229]",0.01,0.0,0.13,0.36,0.16,0.02,0.31
10,"[759, 259, 181, 225]",0.02,0.0,0.18,0.27,0.19,0.01,0.32
11,"[747, 258, 183, 226]",0.02,0.0,0.13,0.36,0.19,0.01,0.29
12,"[740, 255, 186, 228]",0.02,0.0,0.13,0.41,0.17,0.01,0.26
13,"[740, 258, 176, 218]",0.02,0.0,0.19,0.35,0.16,0.01,0.27
14,"[736, 256, 180, 222]",0.01,0.0,0.19,0.31,0.17,0.01,0.31
15,"[734, 250, 188, 232]",0.02,0.0,0.15,0.37,0.17,0.01,0.28
16,"[737, 256, 177, 220]",0.02,0.0,0.18,0.33,0.16,0.01,0.3
17,"[734, 253, 180, 223]",0.02,0.0,0.16,0.3,0.17,0.01,0.34
18,"[733, 251, 179, 224]",0.02,0.0,0.13,0.31,0.22,0.01,0.32
19,"[719, 251, 178, 221]",0.02,0.0,0.13,0.42,0.13,0.01,0.29
20,"[717, 253, 176, 221]",0.02,0.0,0.16,0.38,0.15,0.01,0.27
21,"[715, 253, 177, 222]",0.02,0.0,0.17,0.34,0.19,0.01,0.26
22,"[709, 246, 191, 232]",0.02,0.0,0.17,0.39,0.14,0.01,0.27
23,"[708, 247, 189, 230]",0.02,0.0,0.16,0.36,0.16,0.01,0.28
24,"[715, 255, 174, 218]",0.02,0.0,0.18,0.38,0.17,0.01,0.23
25,"[706, 244, 194, 236]",0.02,0.0,0.16,0.35,0.16,0.01,0.31
26,"[706, 248, 189, 231]",0.02,0.0,0.16,0.39,0.17,0.01,0.23
27,"[707, 255, 182, 223]",0.02,0.0,0.15,0.36,0.19,0.01,0.27
28,"[706, 256, 180, 222]",0.03,0.0,0.17,0.32,0.19,0.02,0.28
29,"[703, 257, 177, 217]",0.03,0.0,0.15,0.47,0.14,0.01,0.2
30,"[696, 250, 184, 231]",0.02,0.0,0.22,0.32,0.15,0.01,0.28
31,"[697, 244, 186, 234]",0.02,0.0,0.23,0.24,0.21,0.01,0.29
32,"[693, 238, 191, 240]",0.02,0.0,0.21,0.33,0.15,0.02,0.27
33,"[697, 248, 181, 225]",0.02,0.0,0.18,0.23,0.28,0.01,0.27
34,"[717, 254, 181, 224]",0.07,0.0,0.16,0.42,0.2,0.01,0.14
35,"[729, 260, 183, 227]",0.03,0.0,0.2,0.34,0.21,0.02,0.2
36,"[752, 292, 180, 226]",0.02,0.0,0.14,0.48,0.15,0.01,0.21
37,"[750, 287, 181, 226]",0.01,0.0,0.13,0.47,0.14,0.01,0.22
38,"[749, 288, 180, 225]",0.02,0.0,0.19,0.39,0.2,0.01,0.2
39,"[744, 289, 179, 223]",0.02,0.0,0.17,0.26,0.26,0.01,0.28
40,"[739, 287, 181, 224]",0.03,0.0,0.13,0.29,0.23,0.01,0.32
41,"[733, 285, 181, 225]",0.02,0.0,0.11,0.32,0.19,0.01,0.35
42,"[730, 285, 180, 224]",0.02,0.0,0.12,0.27,0.22,0.01,0.37
