,box,angry,disgust,fear,happy,sad,surprise,neutral
0,"[393, 241, 229, 267]",0.22,0.0,0.51,0.08,0.13,0.01,0.06
1,"[394, 244, 228, 268]",0.21,0.0,0.38,0.01,0.32,0.0,0.08
2,"[392, 252, 226, 259]",0.19,0.0,0.35,0.0,0.38,0.0,0.08
3,"[388, 252, 230, 265]",0.15,0.0,0.31,0.0,0.45,0.0,0.08
4,"[387, 251, 230, 269]",0.16,0.0,0.37,0.0,0.41,0.0,0.06
5,"[393, 252, 224, 259]",0.24,0.0,0.46,0.0,0.26,0.0,0.03
6,"[390, 250, 228, 265]",0.29,0.0,0.35,0.0,0.3,0.0,0.05
7,"[386, 251, 230, 264]",0.23,0.0,0.27,0.01,0.34,0.0,0.15
8,"[384, 250, 231, 267]",0.1,0.0,0.43,0.0,0.36,0.0,0.09
9,"[393, 254, 223, 259]",0.28,0.0,0.38,0.01,0.27,0.0,0.06
10,"[387, 252, 224, 260]",0.1,0.0,0.42,0.01,0.39,0.0,0.09
11,"[386, 251, 225, 260]",0.08,0.0,0.33,0.01,0.41,0.0,0.16
12,"[386, 264, 219, 248]",0.33,0.0,0.22,0.01,0.26,0.0,0.18
13,"[385, 248, 230, 266]",0.25,0.0,0.26,0.01,0.43,0.0,0.06
14,"[378, 240, 233, 271]",0.32,0.0,0.25,0.01,0.14,0.0,0.28
15,"[364, 264, 232, 277]",0.04,0.0,0.7,0.0,0.23,0.0,0.02
16,"[385, 249, 227, 267]",0.07,0.0,0.25,0.0,0.51,0.0,0.17
17,"[384, 249, 229, 266]",0.09,0.0,0.29,0.01,0.48,0.0,0.13
18,"[385, 256, 227, 260]",0.32,0.0,0.34,0.05,0.22,0.0,0.07
19,"[380, 254, 229, 266]",0.12,0.0,0.36,0.0,0.47,0.0,0.05
20,"[384, 254, 227, 264]",0.09,0.0,0.41,0.01,0.42,0.0,0.07
21,"[385, 255, 226, 261]",0.09,0.0,0.37,0.0,0.44,0.0,0.09
22,"[387, 255, 224, 262]",0.13,0.0,0.48,0.01,0.32,0.0,0.06
23,"[419, 233, 225, 266]",0.12,0.0,0.19,0.02,0.43,0.0,0.24
24,"[460, 230, 218, 253]",0.21,0.0,0.19,0.01,0.41,0.0,0.18
25,"[473, 227, 216, 253]",0.3,0.0,0.34,0.01,0.27,0.0,0.08
26,"[493, 234, 209, 249]",0.12,0.0,0.14,0.02,0.53,0.0,0.18
27,"[488, 222, 214, 253]",0.21,0.0,0.27,0.04,0.34,0.0,0.13
28,"[488, 222, 215, 253]",0.2,0.0,0.29,0.05,0.33,0.0,0.12
29,"[478, 225, 216, 255]",0.22,0.0,0.26,0.01,0.42,0.0,0.09
30,"[475, 224, 217, 257]",0.17,0.0,0.28,0.01,0.45,0.0,0.09
31,"[475, 225, 218, 256]",0.27,0.0,0.3,0.02,0.32,0.0,0.08
32,"[474, 227, 218, 255]",0.32,0.0,0.26,0.03,0.29,0.0,0.1
33,"[473, 227, 217, 255]",0.26,0.0,0.3,0.02,0.32,0.0,0.1
34,"[472, 227, 219, 257]",0.37,0.0,0.26,0.03,0.25,0.0,0.09
35,"[470, 227, 219, 256]",0.35,0.0,0.28,0.02,0.27,0.0,0.08
36,"[471, 227, 218, 256]",0.23,0.0,0.31,0.03,0.32,0.0,0.11
37,"[469, 226, 220, 260]",0.27,0.0,0.26,0.02,0.36,0.0,0.09
38,"[470, 228, 219, 259]",0.2,0.0,0.23,0.01,0.47,0.0,0.09
39,"[469, 227, 220, 258]",0.17,0.0,0.26,0.02,0.42,0.0,0.13
40,"[471, 226, 218, 258]",0.16,0.0,0.28,0.01,0.44,0.0,0.1
41,"[470, 227, 219, 259]",0.25,0.0,0.26,0.01,0.35,0.0,0.12
42,"[469, 228, 218, 258]",0.39,0.0,0.25,0.01,0.24,0.0,0.11
43,"[464, 226, 221, 258]",0.14,0.0,0.29,0.02,0.44,0.0,0.12
44,"[462, 226, 222, 259]",0.2,0.0,0.28,0.02,0.41,0.0,0.09
45,"[461, 226, 222, 260]",0.23,0.0,0.31,0.01,0.34,0.0,0.11
46,"[461, 227, 222, 260]",0.22,0.0,0.2,0.0,0.47,0.0,0.11
47,"[464, 227, 219, 257]",0.24,0.0,0.36,0.01,0.31,0.0,0.08
48,"[465, 226, 221, 258]",0.21,0.0,0.31,0.01,0.37,0.0,0.1
49,"[467, 225, 220, 257]",0.25,0.0,0.31,0.01,0.32,0.0,0.11
50,"[467, 224, 223, 252]",0.25,0.0,0.42,0.09,0.1,0.0,0.13
51,"[476, 227, 215, 252]",0.17,0.0,0.3,0.01,0.46,0.0,0.06
52,"[477, 227, 218, 255]",0.18,0.0,0.29,0.01,0.45,0.0,0.07
53,"[477, 226, 218, 256]",0.26,0.0,0.26,0.01,0.34,0.0,0.12
54,"[478, 228, 215, 251]",0.21,0.0,0.23,0.01,0.39,0.0,0.15
55,"[477, 228, 216, 253]",0.4,0.0,0.27,0.01,0.24,0.0,0.08
56,"[477, 228, 217, 253]",0.28,0.0,0.28,0.01,0.33,0.0,0.11
57,"[479, 225, 219, 258]",0.32,0.0,0.3,0.02,0.28,0.0,0.08
