,box,angry,disgust,fear,happy,sad,surprise,neutral
0,"[549, 327, 191, 237]",0.1,0.0,0.02,0.09,0.31,0.01,0.46
1,"[550, 335, 189, 229]",0.11,0.0,0.04,0.18,0.37,0.01,0.28
2,"[543, 330, 191, 235]",0.06,0.0,0.02,0.12,0.26,0.0,0.54
3,"[543, 332, 193, 237]",0.07,0.0,0.03,0.2,0.25,0.01,0.44
4,"[543, 330, 192, 239]",0.09,0.0,0.03,0.09,0.26,0.01,0.53
5,"[543, 332, 192, 238]",0.07,0.0,0.03,0.15,0.27,0.01,0.47
6,"[543, 331, 191, 238]",0.07,0.0,0.04,0.09,0.24,0.01,0.55
7,"[544, 331, 191, 239]",0.07,0.0,0.03,0.14,0.21,0.01,0.54
8,"[543, 330, 192, 239]",0.08,0.0,0.05,0.08,0.31,0.01,0.47
9,"[545, 331, 191, 239]",0.07,0.0,0.05,0.07,0.3,0.01,0.5
10,"[543, 329, 192, 242]",0.07,0.0,0.06,0.28,0.21,0.03,0.34
11,"[543, 328, 192, 243]",0.07,0.0,0.07,0.2,0.24,0.03,0.39
12,"[543, 330, 192, 240]",0.06,0.0,0.04,0.1,0.29,0.02,0.48
13,"[541, 328, 191, 242]",0.06,0.0,0.04,0.09,0.25,0.01,0.55
14,"[540, 329, 193, 242]",0.07,0.0,0.04,0.1,0.25,0.01,0.53
15,"[540, 328, 193, 244]",0.06,0.0,0.04,0.18,0.22,0.01,0.48
16,"[539, 329, 191, 241]",0.09,0.0,0.05,0.12,0.23,0.01,0.49
17,"[538, 329, 192, 242]",0.1,0.0,0.06,0.1,0.27,0.02,0.44
18,"[539, 330, 192, 243]",0.12,0.0,0.06,0.12,0.24,0.03,0.44
19,"[539, 330, 192, 243]",0.08,0.0,0.03,0.12,0.19,0.02,0.56
20,"[540, 332, 190, 240]",0.12,0.0,0.02,0.21,0.26,0.02,0.37
21,"[539, 332, 191, 238]",0.09,0.0,0.03,0.14,0.31,0.01,0.42
22,"[540, 332, 190, 240]",0.11,0.0,0.03,0.08,0.3,0.01,0.47
23,"[539, 332, 191, 240]",0.09,0.0,0.04,0.09,0.32,0.01,0.46
24,"[539, 334, 190, 238]",0.11,0.0,0.03,0.05,0.46,0.0,0.34
25,"[539, 336, 188, 236]",0.08,0.0,0.02,0.05,0.42,0.01,0.42
26,"[539, 336, 189, 236]",0.08,0.0,0.02,0.06,0.34,0.01,0.5
27,"[538, 337, 188, 236]",0.1,0.0,0.02,0.06,0.42,0.01,0.39
28,"[536, 334, 191, 237]",0.12,0.0,0.02,0.09,0.39,0.0,0.37
29,"[537, 335, 190, 238]",0.06,0.0,0.04,0.07,0.25,0.01,0.57
30,"[538, 328, 194, 245]",0.08,0.0,0.04,0.05,0.35,0.01,0.46
31,"[541, 336, 187, 236]",0.14,0.0,0.03,0.06,0.46,0.01,0.3
32,"[538, 334, 190, 238]",0.14,0.0,0.03,0.07,0.43,0.0,0.32
33,"[539, 334, 190, 240]",0.12,0.0,0.04,0.11,0.35,0.01,0.38
34,"[539, 334, 190, 238]",0.13,0.0,0.04,0.08,0.37,0.01,0.37
35,"[539, 336, 188, 235]",0.11,0.0,0.03,0.08,0.32,0.01,0.45
36,"[540, 334, 186, 236]",0.09,0.0,0.03,0.06,0.36,0.0,0.46
37,"[539, 336, 187, 233]",0.09,0.0,0.04,0.08,0.21,0.01,0.58
38,"[539, 336, 186, 233]",0.08,0.0,0.04,0.09,0.19,0.01,0.59
39,"[539, 335, 187, 234]",0.11,0.0,0.04,0.06,0.19,0.01,0.59
40,"[542, 334, 190, 240]",0.1,0.0,0.05,0.13,0.21,0.01,0.49
41,"[542, 334, 190, 239]",0.09,0.0,0.04,0.11,0.16,0.01,0.58
42,"[543, 337, 190, 238]",0.1,0.0,0.05,0.15,0.33,0.01,0.36
43,"[542, 333, 192, 241]",0.11,0.0,0.04,0.21,0.33,0.01,0.29
44,"[545, 334, 190, 241]",0.13,0.0,0.05,0.16,0.33,0.01,0.32
45,"[543, 334, 191, 241]",0.11,0.0,0.04,0.1,0.33,0.01,0.4
46,"[544, 335, 188, 239]",0.08,0.0,0.04,0.14,0.32,0.01,0.41
47,"[544, 336, 187, 236]",0.08,0.0,0.03,0.11,0.33,0.01,0.44
48,"[542, 334, 189, 239]",0.13,0.0,0.04,0.12,0.31,0.01,0.4
49,"[540, 335, 190, 239]",0.08,0.0,0.04,0.11,0.33,0.01,0.43
50,"[539, 333, 190, 240]",0.07,0.0,0.04,0.12,0.24,0.01,0.52
51,"[539, 334, 189, 239]",0.07,0.0,0.04,0.07,0.23,0.01,0.59
52,"[540, 334, 187, 239]",0.06,0.0,0.03,0.12,0.22,0.01,0.56
53,"[540, 335, 188, 240]",0.07,0.0,0.04,0.1,0.24,0.01,0.53
54,"[538, 335, 189, 238]",0.07,0.0,0.03,0.08,0.27,0.01,0.54
55,"[537, 336, 187, 235]",0.08,0.0,0.03,0.07,0.25,0.01,0.56
56,"[537, 335, 186, 235]",0.11,0.0,0.05,0.09,0.23,0.01,0.52
57,"[538, 336, 186, 234]",0.1,0.0,0.05,0.07,0.28,0.01,0.49
58,"[539, 337, 186, 235]",0.11,0.0,0.04,0.15,0.28,0.01,0.42
59,"[539, 338, 186, 234]",0.09,0.0,0.03,0.15,0.28,0.01,0.44
60,"[536, 335, 187, 236]",0.09,0.0,0.04,0.06,0.21,0.01,0.58
61,"[537, 337, 186, 234]",0.06,0.0,0.03,0.11,0.2,0.01,0.6
62,"[536, 337, 187, 235]",0.07,0.0,0.03,0.11,0.26,0.01,0.53
63,"[535, 336, 187, 236]",0.07,0.0,0.03,0.12,0.22,0.01,0.55
64,"[534, 335, 187, 237]",0.07,0.0,0.04,0.09,0.22,0.01,0.58
65,"[534, 334, 188, 238]",0.05,0.0,0.04,0.07,0.22,0.01,0.61
66,"[535, 336, 188, 237]",0.08,0.0,0.03,0.14,0.23,0.01,0.51
67,"[535, 335, 188, 238]",0.09,0.0,0.04,0.13,0.26,0.01,0.47
68,"[537, 336, 187, 236]",0.1,0.0,0.03,0.16,0.29,0.01,0.42
69,"[535, 334, 188, 238]",0.09,0.0,0.04,0.13,0.3,0.01,0.44
70,"[1098, 60, 37, 47]",0.26,0.0,0.08,0.08,0.4,0.02,0.16
71,"[1019, 84, 53, 63]",0.01,0.0,0.02,0.75,0.04,0.05,0.13
72,"[537, 335, 188, 238]",0.18,0.0,0.04,0.16,0.3,0.01,0.32
73,"[536, 333, 189, 240]",0.09,0.0,0.04,0.21,0.26,0.01,0.39
74,"[536, 334, 190, 241]",0.09,0.0,0.04,0.12,0.22,0.02,0.51
75,"[537, 332, 191, 243]",0.08,0.0,0.05,0.12,0.18,0.01,0.56
76,"[535, 334, 189, 238]",0.07,0.0,0.03,0.12,0.12,0.01,0.65
77,"[536, 334, 189, 240]",0.09,0.0,0.03,0.14,0.15,0.01,0.57
78,"[538, 335, 187, 238]",0.09,0.0,0.04,0.12,0.19,0.01,0.55
79,"[539, 334, 188, 239]",0.05,0.0,0.03,0.1,0.15,0.0,0.65
80,"[538, 335, 190, 238]",0.07,0.0,0.03,0.08,0.17,0.01,0.64
81,"[539, 335, 189, 239]",0.07,0.0,0.03,0.1,0.2,0.01,0.6
82,"[539, 336, 186, 237]",0.11,0.0,0.03,0.11,0.34,0.0,0.42
83,"[538, 335, 186, 238]",0.11,0.0,0.03,0.08,0.32,0.01,0.46
84,"[538, 334, 188, 237]",0.07,0.0,0.04,0.04,0.34,0.01,0.51
85,"[535, 333, 188, 237]",0.08,0.0,0.05,0.05,0.25,0.01,0.57
86,"[534, 334, 189, 237]",0.08,0.0,0.05,0.07,0.2,0.01,0.59
