,box,angry,disgust,fear,happy,sad,surprise,neutral
0,"[485, 479, 236, 295]",0.11,0.0,0.15,0.05,0.54,0.0,0.15
1,"[476, 475, 238, 300]",0.09,0.0,0.22,0.07,0.45,0.01,0.15
2,"[469, 475, 239, 299]",0.09,0.0,0.26,0.09,0.45,0.01,0.11
3,"[466, 476, 234, 294]",0.07,0.0,0.29,0.11,0.36,0.01,0.17
4,"[459, 482, 240, 291]",0.02,0.0,0.09,0.09,0.64,0.0,0.15
5,"[459, 485, 236, 291]",0.02,0.0,0.05,0.06,0.66,0.0,0.21
6,"[452, 477, 233, 288]",0.04,0.0,0.09,0.09,0.56,0.0,0.22
7,"[447, 475, 235, 292]",0.06,0.0,0.1,0.14,0.31,0.0,0.4
8,"[440, 479, 239, 300]",0.03,0.0,0.1,0.29,0.32,0.0,0.25
9,"[445, 472, 236, 294]",0.03,0.0,0.08,0.36,0.14,0.0,0.38
10,"[446, 490, 232, 277]",0.05,0.0,0.09,0.18,0.38,0.0,0.3
11,"[444, 476, 235, 288]",0.04,0.0,0.06,0.27,0.2,0.0,0.44
12,"[441, 472, 239, 295]",0.08,0.0,0.11,0.22,0.24,0.0,0.35
13,"[445, 482, 235, 290]",0.05,0.0,0.09,0.18,0.35,0.0,0.32
14,"[448, 485, 236, 290]",0.04,0.0,0.07,0.21,0.23,0.0,0.46
15,"[450, 473, 235, 293]",0.05,0.0,0.14,0.16,0.21,0.0,0.44
16,"[446, 472, 236, 294]",0.05,0.0,0.09,0.3,0.21,0.0,0.34
17,"[449, 475, 232, 285]",0.04,0.0,0.07,0.27,0.23,0.0,0.39
18,"[450, 474, 229, 288]",0.02,0.0,0.03,0.08,0.56,0.0,0.31
19,"[452, 478, 230, 283]",0.01,0.0,0.04,0.02,0.74,0.0,0.19
20,"[462, 488, 229, 285]",0.03,0.0,0.05,0.11,0.52,0.0,0.3
21,"[464, 485, 229, 285]",0.04,0.0,0.06,0.11,0.5,0.0,0.29
22,"[458, 476, 230, 289]",0.05,0.0,0.08,0.06,0.44,0.0,0.37
23,"[451, 477, 231, 288]",0.04,0.0,0.13,0.05,0.43,0.0,0.35
24,"[449, 478, 231, 289]",0.04,0.0,0.09,0.03,0.46,0.0,0.37
25,"[449, 480, 229, 287]",0.05,0.0,0.1,0.06,0.36,0.0,0.43
26,"[448, 479, 231, 289]",0.05,0.0,0.1,0.02,0.56,0.0,0.27
27,"[451, 478, 228, 288]",0.03,0.0,0.07,0.02,0.64,0.0,0.24
28,"[450, 477, 228, 287]",0.03,0.0,0.07,0.02,0.66,0.0,0.22
29,"[447, 478, 230, 288]",0.02,0.0,0.08,0.02,0.61,0.0,0.27
30,"[449, 478, 230, 288]",0.03,0.0,0.08,0.01,0.64,0.0,0.24
31,"[452, 479, 226, 285]",0.02,0.0,0.06,0.0,0.8,0.0,0.11
32,"[454, 478, 226, 283]",0.03,0.0,0.07,0.0,0.75,0.0,0.15
33,"[455, 479, 227, 284]",0.03,0.0,0.07,0.01,0.72,0.0,0.17
34,"[452, 478, 230, 286]",0.03,0.0,0.08,0.01,0.64,0.0,0.24
35,"[453, 476, 230, 290]",0.03,0.0,0.07,0.01,0.64,0.0,0.24
36,"[453, 478, 227, 286]",0.04,0.0,0.08,0.02,0.55,0.0,0.32
37,"[452, 476, 228, 287]",0.05,0.0,0.07,0.01,0.49,0.0,0.37
38,"[452, 477, 228, 287]",0.05,0.0,0.07,0.02,0.47,0.0,0.39
39,"[451, 481, 220, 277]",0.05,0.0,0.09,0.01,0.43,0.0,0.42
40,"[449, 481, 223, 277]",0.07,0.0,0.1,0.02,0.53,0.0,0.27
41,"[453, 476, 225, 281]",0.06,0.0,0.08,0.01,0.66,0.0,0.18
42,"[450, 475, 229, 288]",0.06,0.0,0.1,0.01,0.55,0.0,0.29
43,"[452, 483, 230, 285]",0.08,0.0,0.11,0.02,0.56,0.0,0.22
44,"[451, 477, 228, 285]",0.05,0.0,0.13,0.01,0.53,0.0,0.28
45,"[449, 475, 229, 287]",0.03,0.0,0.1,0.01,0.59,0.0,0.26
46,"[449, 485, 231, 285]",0.03,0.0,0.06,0.01,0.65,0.0,0.25
47,"[452, 479, 228, 285]",0.05,0.0,0.07,0.01,0.6,0.0,0.27
48,"[453, 476, 228, 288]",0.04,0.0,0.1,0.01,0.64,0.0,0.21
49,"[450, 478, 228, 285]",0.02,0.0,0.07,0.0,0.79,0.0,0.11
50,"[450, 477, 225, 281]",0.03,0.0,0.08,0.0,0.77,0.0,0.13
51,"[455, 480, 227, 281]",0.04,0.0,0.08,0.01,0.75,0.0,0.13
52,"[455, 481, 227, 281]",0.04,0.0,0.09,0.01,0.63,0.0,0.24
53,"[450, 480, 229, 285]",0.03,0.0,0.09,0.01,0.56,0.0,0.3
54,"[449, 478, 232, 287]",0.04,0.0,0.12,0.01,0.57,0.0,0.27
55,"[446, 480, 230, 286]",0.03,0.0,0.1,0.0,0.58,0.0,0.28
56,"[444, 478, 229, 284]",0.03,0.0,0.1,0.01,0.52,0.0,0.33
57,"[447, 480, 226, 284]",0.03,0.0,0.1,0.01,0.48,0.0,0.38
58,"[445, 478, 226, 284]",0.03,0.0,0.1,0.01,0.43,0.0,0.44
59,"[445, 477, 227, 284]",0.04,0.0,0.1,0.0,0.45,0.0,0.4
60,"[445, 478, 226, 285]",0.03,0.0,0.11,0.01,0.55,0.0,0.3
61,"[445, 481, 226, 284]",0.03,0.0,0.11,0.01,0.56,0.0,0.3
62,"[447, 483, 225, 282]",0.03,0.0,0.08,0.02,0.4,0.0,0.48
63,"[445, 480, 229, 284]",0.03,0.0,0.1,0.01,0.49,0.0,0.37
