,box,angry,disgust,fear,happy,sad,surprise,neutral
0,"[706, 275, 218, 266]",0.04,0.0,0.07,0.47,0.13,0.0,0.28
1,"[703, 271, 215, 262]",0.06,0.0,0.11,0.2,0.17,0.0,0.46
2,"[701, 271, 214, 260]",0.07,0.0,0.11,0.17,0.2,0.0,0.45
3,"[701, 272, 211, 258]",0.11,0.0,0.1,0.26,0.17,0.0,0.35
4,"[1030, 671, 30, 43]",0.17,0.0,0.11,0.08,0.43,0.1,0.12
5,"[694, 253, 223, 279]",0.09,0.0,0.13,0.17,0.18,0.0,0.43
6,"[700, 264, 216, 265]",0.08,0.0,0.1,0.13,0.2,0.0,0.49
7,"[698, 268, 203, 250]",0.1,0.0,0.19,0.31,0.19,0.01,0.2
8,"[692, 265, 216, 263]",0.12,0.0,0.15,0.24,0.16,0.0,0.32
9,"[696, 268, 217, 263]",0.11,0.0,0.12,0.26,0.17,0.0,0.34
10,"[696, 265, 212, 259]",0.04,0.0,0.12,0.17,0.17,0.0,0.49
11,"[716, 258, 207, 252]",0.06,0.0,0.12,0.04,0.32,0.0,0.46
12,"[724, 236, 213, 264]",0.06,0.0,0.11,0.01,0.22,0.01,0.58
13,"[721, 238, 215, 261]",0.04,0.0,0.06,0.0,0.12,0.01,0.78
14,"[723, 242, 213, 260]",0.07,0.0,0.12,0.01,0.21,0.01,0.6
15,"[727, 242, 218, 261]",0.11,0.0,0.2,0.14,0.2,0.01,0.33
16,"[686, 254, 213, 263]",0.09,0.0,0.11,0.31,0.13,0.0,0.36
17,"[681, 254, 211, 260]",0.07,0.0,0.1,0.48,0.08,0.0,0.26
18,"[683, 253, 207, 257]",0.13,0.0,0.11,0.36,0.12,0.01,0.27
19,"[685, 251, 209, 261]",0.12,0.0,0.16,0.3,0.16,0.01,0.25
20,"[689, 258, 205, 255]",0.12,0.0,0.1,0.32,0.13,0.01,0.32
21,"[689, 256, 207, 258]",0.12,0.0,0.11,0.27,0.15,0.0,0.34
22,"[691, 255, 204, 258]",0.12,0.0,0.12,0.21,0.22,0.0,0.33
23,"[692, 260, 203, 256]",0.15,0.0,0.11,0.23,0.21,0.0,0.3
24,"[696, 253, 209, 262]",0.13,0.0,0.11,0.21,0.24,0.0,0.3
25,"[691, 242, 216, 280]",0.08,0.0,0.13,0.24,0.18,0.0,0.36
26,"[688, 243, 217, 274]",0.07,0.0,0.13,0.18,0.2,0.0,0.42
27,"[724, 266, 217, 264]",0.08,0.0,0.09,0.04,0.15,0.01,0.64
28,"[738, 265, 221, 269]",0.05,0.0,0.08,0.04,0.16,0.0,0.67
29,"[739, 264, 219, 270]",0.05,0.0,0.09,0.04,0.15,0.0,0.67
30,"[732, 269, 211, 257]",0.1,0.0,0.13,0.06,0.24,0.01,0.47
31,"[722, 266, 210, 260]",0.13,0.0,0.15,0.07,0.23,0.0,0.43
32,"[722, 268, 207, 254]",0.1,0.0,0.14,0.11,0.18,0.0,0.47
