,box,angry,disgust,fear,happy,sad,surprise,neutral
0,"[782, 337, 62, 81]",0.05,0.0,0.14,0.48,0.21,0.01,0.11
1,"[780, 339, 61, 79]",0.11,0.0,0.28,0.25,0.19,0.02,0.14
2,"[1238, 570, 25, 33]",0.45,0.02,0.07,0.04,0.14,0.03,0.25
3,"[1218, 158, 19, 25]",0.26,0.02,0.07,0.12,0.1,0.03,0.41
4,"[623, 373, 155, 189]",0.04,0.0,0.17,0.27,0.1,0.02,0.4
5,"[1251, 575, 22, 27]",0.25,0.0,0.05,0.04,0.04,0.3,0.31
6,"[1205, 160, 35, 47]",0.07,0.0,0.1,0.09,0.39,0.03,0.31
7,"[645, 379, 163, 196]",0.03,0.0,0.12,0.26,0.08,0.01,0.48
8,"[493, 690, 14, 18]",0.25,0.04,0.13,0.08,0.29,0.02,0.2
9,"[972, 652, 22, 29]",0.32,0.0,0.18,0.07,0.26,0.05,0.12
10,"[1215, 184, 25, 37]",0.11,0.0,0.22,0.18,0.17,0.02,0.3
11,"[1212, 163, 22, 26]",0.05,0.0,0.1,0.12,0.1,0.03,0.58
12,"[1217, 214, 24, 34]",0.07,0.0,0.16,0.17,0.16,0.04,0.4
13,"[1215, 161, 22, 27]",0.03,0.01,0.08,0.29,0.15,0.03,0.41
14,"[1217, 173, 22, 32]",0.21,0.02,0.11,0.18,0.13,0.06,0.29
15,"[986, 583, 20, 25]",0.11,0.0,0.33,0.04,0.32,0.04,0.16
16,"[731, 316, 206, 248]",0.05,0.0,0.11,0.27,0.12,0.0,0.45
17,"[500, 686, 13, 17]",0.07,0.0,0.22,0.22,0.3,0.02,0.17
18,"[729, 302, 215, 262]",0.04,0.0,0.11,0.23,0.14,0.01,0.48
19,"[767, 311, 219, 266]",0.03,0.0,0.09,0.17,0.17,0.01,0.52
20,"[1214, 160, 23, 35]",0.18,0.02,0.13,0.1,0.12,0.06,0.38
21,"[1215, 174, 20, 29]",0.12,0.01,0.13,0.07,0.23,0.06,0.38
22,"[692, 302, 213, 262]",0.04,0.0,0.13,0.28,0.11,0.01,0.42
23,"[729, 312, 199, 246]",0.05,0.0,0.16,0.28,0.14,0.01,0.36
24,"[1218, 163, 18, 25]",0.09,0.0,0.13,0.14,0.1,0.35,0.19
25,"[1207, 168, 29, 41]",0.12,0.0,0.33,0.1,0.16,0.09,0.19
26,"[846, 313, 208, 248]",0.04,0.0,0.07,0.22,0.05,0.01,0.6
27,"[716, 298, 218, 271]",0.03,0.0,0.1,0.35,0.13,0.01,0.38
28,"[722, 302, 215, 268]",0.06,0.0,0.13,0.3,0.16,0.01,0.34
29,"[714, 300, 220, 268]",0.04,0.0,0.14,0.18,0.13,0.01,0.51
30,"[712, 307, 221, 268]",0.03,0.0,0.08,0.19,0.11,0.01,0.57
31,"[715, 308, 220, 267]",0.02,0.0,0.11,0.13,0.17,0.01,0.56
32,"[661, 297, 219, 266]",0.03,0.0,0.13,0.37,0.05,0.01,0.4
33,"[662, 292, 222, 277]",0.03,0.0,0.18,0.34,0.1,0.01,0.34
34,"[1049, 665, 23, 31]",0.24,0.0,0.07,0.28,0.25,0.06,0.09
35,"[697, 311, 215, 268]",0.03,0.0,0.14,0.15,0.15,0.01,0.53
36,"[698, 312, 215, 264]",0.03,0.0,0.09,0.21,0.13,0.01,0.54
37,"[700, 314, 195, 240]",0.05,0.0,0.17,0.3,0.14,0.01,0.32
38,"[700, 306, 210, 264]",0.05,0.0,0.22,0.25,0.15,0.01,0.33
39,"[703, 307, 206, 260]",0.05,0.0,0.23,0.24,0.11,0.02,0.35
40,"[689, 304, 213, 269]",0.05,0.0,0.21,0.23,0.17,0.01,0.33
41,"[684, 303, 217, 273]",0.03,0.0,0.08,0.4,0.11,0.01,0.38
42,"[11, 646, 23, 31]",0.08,0.0,0.16,0.13,0.08,0.13,0.42
43,"[1215, 195, 21, 30]",0.2,0.01,0.16,0.12,0.17,0.05,0.29
44,"[1021, 640, 23, 31]",0.06,0.0,0.09,0.06,0.56,0.04,0.19
45,"[1209, 164, 17, 23]",0.08,0.0,0.17,0.1,0.11,0.01,0.52
46,"[1214, 163, 22, 33]",0.09,0.01,0.16,0.18,0.22,0.04,0.3
