,box,angry,disgust,fear,happy,sad,surprise,neutral
0,"[1210, 162, 27, 37]",0.11,0.01,0.05,0.05,0.21,0.03,0.53
1,"[512, 328, 301, 371]",0.17,0.0,0.21,0.2,0.17,0.01,0.23
2,"[499, 303, 305, 388]",0.13,0.0,0.11,0.3,0.2,0.0,0.26
3,"[503, 312, 300, 378]",0.12,0.0,0.12,0.36,0.22,0.0,0.17
4,"[514, 301, 295, 372]",0.08,0.0,0.13,0.43,0.13,0.0,0.24
5,"[513, 308, 296, 374]",0.07,0.0,0.1,0.38,0.17,0.0,0.27
6,"[519, 296, 307, 390]",0.11,0.0,0.2,0.2,0.2,0.01,0.29
7,"[560, 342, 292, 365]",0.08,0.0,0.14,0.34,0.19,0.0,0.25
8,"[566, 349, 290, 360]",0.09,0.0,0.19,0.26,0.24,0.0,0.22
9,"[558, 308, 283, 356]",0.1,0.0,0.12,0.25,0.27,0.0,0.26
10,"[551, 301, 290, 366]",0.05,0.0,0.1,0.32,0.17,0.0,0.35
11,"[550, 308, 294, 370]",0.12,0.0,0.17,0.12,0.28,0.0,0.31
12,"[534, 294, 306, 382]",0.13,0.0,0.13,0.04,0.53,0.0,0.17
13,"[528, 299, 311, 388]",0.1,0.0,0.14,0.12,0.3,0.0,0.33
14,"[555, 312, 296, 372]",0.06,0.0,0.22,0.05,0.55,0.0,0.12
15,"[1214, 178, 25, 39]",0.2,0.01,0.23,0.22,0.18,0.05,0.12
16,"[1213, 171, 24, 34]",0.27,0.0,0.09,0.24,0.21,0.03,0.16
17,"[1203, 163, 36, 48]",0.17,0.0,0.19,0.08,0.3,0.04,0.22
18,"[1207, 161, 27, 36]",0.08,0.01,0.12,0.06,0.23,0.09,0.4
19,"[1250, 646, 26, 34]",0.09,0.0,0.1,0.04,0.41,0.11,0.25
20,"[1212, 161, 25, 29]",0.09,0.0,0.15,0.09,0.07,0.15,0.45
21,"[1208, 160, 28, 37]",0.09,0.01,0.17,0.15,0.21,0.02,0.35
22,"[1044, 641, 18, 24]",0.1,0.0,0.13,0.06,0.56,0.02,0.13
23,"[1218, 166, 21, 30]",0.08,0.01,0.31,0.04,0.28,0.02,0.25
24,"[1209, 158, 29, 37]",0.23,0.0,0.16,0.11,0.11,0.03,0.35
25,"[1208, 157, 27, 37]",0.31,0.01,0.1,0.15,0.1,0.04,0.29
26,"[1215, 166, 22, 34]",0.06,0.0,0.07,0.01,0.12,0.02,0.72
27,"[1010, 634, 27, 37]",0.13,0.0,0.06,0.04,0.44,0.03,0.31
28,"[47, 628, 19, 26]",0.12,0.0,0.16,0.16,0.18,0.16,0.22
29,"[1061, 660, 24, 31]",0.33,0.0,0.11,0.06,0.39,0.04,0.06
30,"[1, 663, 20, 30]",0.21,0.0,0.17,0.09,0.09,0.13,0.3
31,"[1213, 196, 25, 34]",0.15,0.0,0.16,0.13,0.17,0.07,0.32
32,"[725, 405, 232, 271]",0.14,0.0,0.2,0.12,0.33,0.01,0.2
33,"[1045, 615, 17, 22]",0.12,0.0,0.09,0.21,0.41,0.0,0.16
34,"[1075, 648, 20, 26]",0.22,0.0,0.08,0.21,0.3,0.03,0.17
35,"[1054, 636, 20, 26]",0.18,0.0,0.18,0.09,0.29,0.14,0.12
36,"[1214, 206, 27, 38]",0.13,0.0,0.12,0.06,0.37,0.04,0.27
37,"[1207, 181, 30, 46]",0.22,0.01,0.17,0.12,0.23,0.05,0.18
38,"[1080, 678, 20, 28]",0.29,0.0,0.07,0.06,0.37,0.05,0.16
39,"[1205, 161, 32, 39]",0.18,0.0,0.13,0.09,0.22,0.04,0.33
40,"[1211, 231, 23, 31]",0.24,0.03,0.14,0.08,0.14,0.14,0.22
41,"[1222, 166, 19, 28]",0.05,0.0,0.07,0.08,0.14,0.05,0.61
42,"[1222, 167, 16, 26]",0.24,0.0,0.13,0.08,0.42,0.01,0.11
43,"[1209, 160, 28, 41]",0.14,0.0,0.16,0.11,0.25,0.04,0.29
