,box,angry,disgust,fear,happy,sad,surprise,neutral
0,"[601, 380, 212, 250]",0.13,0.0,0.1,0.41,0.15,0.01,0.2
1,"[1211, 207, 25, 34]",0.14,0.0,0.12,0.08,0.42,0.03,0.21
2,"[702, 300, 207, 256]",0.16,0.01,0.15,0.21,0.32,0.01,0.13
3,"[630, 391, 208, 241]",0.08,0.0,0.08,0.43,0.16,0.01,0.24
4,"[657, 387, 208, 242]",0.09,0.0,0.19,0.26,0.27,0.01,0.19
5,"[681, 357, 224, 276]",0.03,0.0,0.05,0.27,0.27,0.0,0.39
6,"[680, 364, 225, 275]",0.04,0.0,0.07,0.1,0.32,0.0,0.48
7,"[678, 362, 226, 287]",0.04,0.0,0.12,0.03,0.53,0.0,0.29
8,"[668, 358, 226, 275]",0.03,0.0,0.05,0.18,0.3,0.0,0.44
9,"[641, 378, 218, 255]",0.06,0.0,0.1,0.21,0.23,0.01,0.38
10,"[644, 376, 217, 256]",0.04,0.0,0.08,0.51,0.12,0.01,0.25
11,"[658, 389, 214, 249]",0.08,0.0,0.09,0.27,0.23,0.01,0.32
12,"[658, 394, 218, 255]",0.09,0.0,0.15,0.19,0.4,0.0,0.16
13,"[600, 382, 214, 247]",0.04,0.0,0.04,0.46,0.09,0.0,0.36
14,"[604, 384, 213, 247]",0.05,0.0,0.05,0.25,0.1,0.0,0.54
15,"[601, 380, 215, 251]",0.06,0.0,0.06,0.23,0.15,0.0,0.49
16,"[640, 373, 213, 254]",0.07,0.0,0.09,0.57,0.11,0.01,0.16
17,"[642, 377, 210, 250]",0.07,0.0,0.07,0.63,0.07,0.01,0.15
18,"[659, 379, 219, 257]",0.03,0.0,0.06,0.32,0.28,0.0,0.31
19,"[692, 375, 229, 276]",0.09,0.0,0.16,0.14,0.27,0.01,0.33
20,"[623, 368, 230, 270]",0.04,0.0,0.1,0.21,0.24,0.0,0.4
21,"[632, 380, 223, 262]",0.1,0.0,0.15,0.14,0.23,0.0,0.38
22,"[638, 385, 218, 255]",0.1,0.0,0.2,0.17,0.27,0.01,0.26
23,"[672, 359, 224, 286]",0.04,0.0,0.08,0.05,0.4,0.0,0.42
24,"[681, 345, 279, 324]",0.09,0.0,0.43,0.06,0.16,0.01,0.25
25,"[578, 300, 281, 349]",0.03,0.0,0.08,0.13,0.11,0.01,0.64
26,"[586, 297, 282, 351]",0.04,0.0,0.19,0.21,0.07,0.01,0.47
27,"[631, 298, 285, 347]",0.08,0.0,0.14,0.19,0.2,0.01,0.38
28,"[644, 293, 286, 351]",0.09,0.0,0.12,0.24,0.23,0.01,0.3
29,"[526, 317, 280, 337]",0.16,0.0,0.16,0.19,0.16,0.02,0.31
30,"[527, 313, 282, 342]",0.11,0.0,0.19,0.07,0.2,0.01,0.41
31,"[1210, 226, 31, 44]",0.21,0.0,0.26,0.09,0.09,0.13,0.22
32,"[498, 275, 317, 408]",0.06,0.0,0.17,0.13,0.21,0.01,0.41
33,"[568, 295, 295, 364]",0.05,0.0,0.1,0.11,0.24,0.01,0.49
34,"[585, 288, 298, 369]",0.07,0.0,0.11,0.15,0.28,0.01,0.38
35,"[593, 298, 274, 337]",0.03,0.0,0.1,0.08,0.16,0.01,0.61
36,"[601, 336, 285, 333]",0.13,0.0,0.16,0.23,0.26,0.01,0.21
37,"[579, 346, 272, 320]",0.11,0.0,0.23,0.08,0.35,0.01,0.22
38,"[867, 579, 19, 27]",0.36,0.01,0.08,0.14,0.21,0.12,0.07
39,"[123, 659, 18, 25]",0.11,0.0,0.16,0.05,0.32,0.15,0.21
40,"[700, 302, 273, 328]",0.11,0.0,0.13,0.19,0.27,0.01,0.29
41,"[697, 306, 273, 329]",0.05,0.0,0.13,0.11,0.32,0.0,0.39
42,"[669, 278, 286, 363]",0.08,0.0,0.2,0.19,0.21,0.01,0.33
43,"[664, 295, 278, 333]",0.12,0.0,0.2,0.24,0.15,0.01,0.29
44,"[593, 281, 283, 347]",0.03,0.0,0.04,0.5,0.12,0.0,0.31
45,"[584, 304, 275, 335]",0.06,0.0,0.07,0.45,0.17,0.01,0.24
