,box,angry,disgust,fear,happy,sad,surprise,neutral
0,"[497, 257, 201, 260]",0.05,0.0,0.16,0.05,0.27,0.02,0.45
1,"[497, 259, 198, 254]",0.07,0.0,0.16,0.04,0.34,0.01,0.38
2,"[497, 260, 199, 256]",0.07,0.0,0.17,0.03,0.35,0.02,0.36
3,"[496, 257, 203, 263]",0.03,0.0,0.16,0.05,0.27,0.02,0.48
4,"[497, 261, 198, 256]",0.05,0.0,0.11,0.05,0.25,0.02,0.52
5,"[498, 260, 200, 260]",0.04,0.0,0.13,0.05,0.25,0.01,0.52
6,"[497, 260, 201, 260]",0.04,0.0,0.16,0.03,0.3,0.01,0.46
7,"[498, 262, 199, 256]",0.07,0.0,0.2,0.04,0.29,0.02,0.39
8,"[499, 262, 200, 257]",0.07,0.0,0.23,0.03,0.24,0.02,0.41
9,"[501, 259, 197, 262]",0.04,0.0,0.11,0.1,0.41,0.01,0.34
10,"[501, 260, 199, 262]",0.04,0.0,0.11,0.15,0.39,0.02,0.28
11,"[500, 259, 200, 263]",0.05,0.0,0.17,0.05,0.36,0.02,0.36
12,"[496, 258, 202, 264]",0.04,0.0,0.17,0.04,0.25,0.02,0.48
13,"[495, 259, 202, 265]",0.05,0.0,0.26,0.04,0.27,0.02,0.36
14,"[499, 261, 197, 260]",0.06,0.0,0.32,0.03,0.29,0.02,0.28
15,"[497, 260, 199, 260]",0.06,0.0,0.22,0.03,0.26,0.02,0.41
16,"[488, 239, 201, 271]",0.03,0.0,0.09,0.17,0.29,0.01,0.41
17,"[490, 241, 198, 264]",0.04,0.0,0.13,0.13,0.28,0.04,0.38
18,"[492, 244, 193, 258]",0.05,0.0,0.13,0.12,0.27,0.03,0.41
19,"[492, 244, 195, 260]",0.04,0.0,0.12,0.1,0.28,0.02,0.43
20,"[492, 244, 192, 257]",0.1,0.0,0.27,0.06,0.31,0.02,0.23
21,"[491, 242, 197, 261]",0.08,0.0,0.25,0.03,0.32,0.02,0.31
22,"[490, 238, 200, 264]",0.08,0.0,0.25,0.07,0.21,0.03,0.36
23,"[491, 236, 199, 262]",0.08,0.0,0.19,0.11,0.26,0.02,0.34
24,"[490, 235, 201, 264]",0.05,0.0,0.2,0.12,0.24,0.02,0.36
25,"[490, 236, 200, 263]",0.05,0.0,0.2,0.13,0.26,0.02,0.34
26,"[490, 241, 197, 260]",0.09,0.0,0.23,0.05,0.26,0.02,0.34
27,"[492, 241, 196, 261]",0.06,0.0,0.27,0.07,0.17,0.03,0.39
28,"[492, 244, 200, 261]",0.04,0.0,0.17,0.03,0.25,0.01,0.5
29,"[488, 240, 203, 267]",0.05,0.0,0.22,0.05,0.23,0.01,0.44
30,"[489, 243, 200, 261]",0.07,0.0,0.22,0.06,0.26,0.01,0.38
31,"[487, 240, 203, 269]",0.06,0.0,0.18,0.08,0.22,0.01,0.44
32,"[487, 239, 204, 272]",0.03,0.0,0.18,0.03,0.24,0.01,0.51
33,"[488, 242, 203, 269]",0.04,0.0,0.27,0.04,0.25,0.01,0.4
34,"[492, 247, 201, 263]",0.02,0.0,0.26,0.05,0.2,0.01,0.45
35,"[487, 242, 206, 276]",0.04,0.0,0.34,0.02,0.27,0.01,0.32
