,box,angry,disgust,fear,happy,sad,surprise,neutral
72,"[604, 276, 222, 269]",0.17,0.0,0.18,0.11,0.32,0.02,0.2
73,"[602, 275, 224, 270]",0.17,0.0,0.18,0.06,0.35,0.01,0.22
74,"[606, 284, 209, 246]",0.1,0.0,0.17,0.22,0.38,0.01,0.11
75,"[602, 276, 214, 262]",0.11,0.0,0.18,0.13,0.42,0.01,0.15
76,"[596, 276, 207, 244]",0.17,0.0,0.19,0.21,0.26,0.01,0.17
77,"[586, 261, 199, 239]",0.15,0.0,0.14,0.31,0.24,0.02,0.15
78,"[573, 244, 197, 237]",0.16,0.0,0.15,0.21,0.28,0.02,0.18
79,"[561, 233, 197, 243]",0.19,0.0,0.28,0.04,0.32,0.01,0.16
80,"[554, 226, 193, 237]",0.17,0.0,0.26,0.07,0.26,0.01,0.23
81,"[543, 225, 189, 227]",0.27,0.0,0.28,0.1,0.18,0.01,0.16
82,"[538, 217, 188, 228]",0.17,0.0,0.23,0.11,0.28,0.01,0.2
83,"[529, 210, 189, 235]",0.13,0.0,0.14,0.07,0.25,0.01,0.41
84,"[524, 210, 191, 235]",0.12,0.0,0.16,0.06,0.25,0.01,0.39
85,"[520, 210, 191, 231]",0.1,0.0,0.12,0.05,0.14,0.01,0.58
86,"[510, 208, 195, 231]",0.18,0.0,0.07,0.06,0.19,0.0,0.49
87,"[507, 211, 191, 228]",0.11,0.0,0.1,0.06,0.2,0.0,0.53
88,"[507, 212, 189, 225]",0.09,0.0,0.09,0.06,0.16,0.01,0.6
89,"[508, 211, 193, 228]",0.1,0.0,0.09,0.05,0.15,0.01,0.61
90,"[513, 214, 189, 223]",0.23,0.0,0.12,0.06,0.29,0.0,0.29
91,"[520, 215, 190, 230]",0.24,0.0,0.14,0.09,0.24,0.0,0.29
92,"[530, 215, 187, 227]",0.2,0.0,0.19,0.07,0.22,0.0,0.31
93,"[536, 210, 189, 229]",0.18,0.0,0.15,0.06,0.16,0.0,0.44
94,"[541, 212, 184, 226]",0.22,0.0,0.15,0.07,0.2,0.0,0.36
95,"[541, 211, 186, 225]",0.24,0.0,0.15,0.03,0.19,0.01,0.38
96,"[540, 212, 186, 225]",0.22,0.0,0.18,0.05,0.16,0.01,0.39
97,"[537, 212, 187, 226]",0.22,0.0,0.15,0.05,0.16,0.01,0.41
98,"[534, 215, 190, 225]",0.21,0.0,0.13,0.07,0.16,0.0,0.43
99,"[533, 213, 191, 226]",0.12,0.0,0.13,0.04,0.11,0.01,0.6
100,"[529, 212, 189, 230]",0.26,0.0,0.1,0.04,0.17,0.0,0.43
101,"[526, 214, 188, 229]",0.19,0.0,0.11,0.08,0.22,0.0,0.39
102,"[526, 219, 187, 223]",0.22,0.0,0.14,0.07,0.17,0.0,0.4
103,"[523, 217, 186, 226]",0.18,0.0,0.16,0.08,0.18,0.01,0.39
104,"[522, 219, 186, 226]",0.2,0.0,0.15,0.06,0.19,0.01,0.39
105,"[522, 220, 188, 226]",0.13,0.0,0.17,0.08,0.22,0.01,0.39
106,"[520, 219, 190, 229]",0.11,0.0,0.11,0.09,0.16,0.01,0.51
107,"[520, 218, 192, 230]",0.12,0.0,0.08,0.05,0.14,0.01,0.6
108,"[520, 217, 194, 232]",0.11,0.0,0.1,0.04,0.18,0.01,0.57
109,"[521, 217, 193, 232]",0.07,0.0,0.08,0.06,0.15,0.0,0.63
110,"[520, 217, 193, 232]",0.14,0.0,0.13,0.07,0.19,0.01,0.46
111,"[521, 218, 193, 231]",0.14,0.0,0.11,0.07,0.21,0.01,0.47
112,"[521, 220, 193, 229]",0.1,0.0,0.12,0.04,0.19,0.01,0.54
113,"[521, 219, 193, 232]",0.1,0.0,0.09,0.04,0.2,0.01,0.57
114,"[521, 218, 193, 233]",0.1,0.0,0.08,0.06,0.19,0.0,0.57
115,"[522, 218, 192, 233]",0.12,0.0,0.09,0.05,0.22,0.0,0.52
116,"[521, 218, 195, 234]",0.1,0.0,0.08,0.03,0.21,0.0,0.58
117,"[522, 217, 191, 233]",0.12,0.0,0.13,0.03,0.18,0.01,0.53
118,"[522, 216, 191, 235]",0.18,0.0,0.09,0.02,0.2,0.0,0.5
119,"[522, 218, 192, 233]",0.18,0.0,0.11,0.03,0.25,0.0,0.43
120,"[524, 220, 191, 231]",0.14,0.0,0.15,0.03,0.26,0.01,0.41
121,"[524, 220, 191, 232]",0.07,0.0,0.12,0.04,0.24,0.01,0.53
122,"[524, 220, 192, 233]",0.09,0.0,0.13,0.04,0.23,0.0,0.52
123,"[524, 219, 192, 233]",0.1,0.0,0.12,0.04,0.21,0.0,0.53
124,"[524, 220, 192, 233]",0.07,0.0,0.15,0.03,0.21,0.01,0.54
125,"[524, 221, 194, 232]",0.09,0.0,0.09,0.04,0.19,0.01,0.59
126,"[524, 220, 195, 234]",0.05,0.0,0.1,0.05,0.16,0.01,0.65
127,"[523, 221, 195, 233]",0.04,0.0,0.1,0.06,0.11,0.0,0.68
128,"[524, 221, 194, 232]",0.05,0.0,0.11,0.08,0.12,0.0,0.63
129,"[525, 223, 188, 232]",0.06,0.0,0.16,0.03,0.16,0.0,0.59
130,"[534, 234, 187, 222]",0.08,0.0,0.17,0.04,0.24,0.0,0.47
131,"[526, 219, 191, 236]",0.1,0.0,0.08,0.12,0.21,0.0,0.48
132,"[526, 218, 189, 238]",0.09,0.0,0.13,0.19,0.14,0.01,0.46
133,"[527, 218, 190, 240]",0.09,0.0,0.09,0.33,0.14,0.01,0.34
134,"[530, 221, 191, 241]",0.08,0.0,0.1,0.23,0.21,0.0,0.37
135,"[532, 219, 193, 242]",0.14,0.0,0.25,0.15,0.23,0.01,0.22
136,"[534, 219, 201, 248]",0.04,0.0,0.1,0.36,0.16,0.0,0.34
137,"[537, 220, 192, 241]",0.05,0.0,0.1,0.36,0.17,0.0,0.32
138,"[541, 221, 189, 238]",0.07,0.0,0.12,0.23,0.21,0.0,0.36
139,"[538, 229, 195, 237]",0.14,0.0,0.28,0.11,0.17,0.01,0.28
140,"[539, 224, 196, 245]",0.08,0.0,0.17,0.17,0.19,0.01,0.37
141,"[543, 224, 202, 248]",0.06,0.0,0.19,0.14,0.19,0.01,0.41
142,"[548, 225, 190, 242]",0.02,0.0,0.05,0.38,0.11,0.0,0.44
143,"[546, 234, 195, 238]",0.05,0.0,0.08,0.33,0.26,0.0,0.28
