,box,angry,disgust,fear,happy,sad,surprise,neutral
0,"[1203, 251, 29, 36]",0.22,0.01,0.24,0.05,0.16,0.05,0.27
1,"[1209, 328, 28, 42]",0.2,0.0,0.12,0.12,0.43,0.02,0.11
2,"[15, 661, 21, 29]",0.44,0.0,0.06,0.06,0.3,0.04,0.1
3,"[1202, 255, 28, 36]",0.3,0.0,0.12,0.16,0.17,0.02,0.23
4,"[1213, 292, 21, 29]",0.18,0.0,0.2,0.1,0.37,0.03,0.12
5,"[714, 66, 273, 341]",0.05,0.0,0.08,0.48,0.16,0.0,0.23
6,"[713, 57, 273, 347]",0.04,0.0,0.1,0.54,0.11,0.0,0.21
7,"[717, 59, 274, 347]",0.04,0.0,0.05,0.6,0.12,0.0,0.19
8,"[723, 81, 269, 332]",0.03,0.0,0.06,0.53,0.11,0.0,0.26
9,"[721, 73, 274, 340]",0.03,0.0,0.06,0.44,0.13,0.0,0.34
10,"[722, 75, 275, 343]",0.03,0.0,0.06,0.55,0.11,0.0,0.25
11,"[731, 75, 265, 330]",0.02,0.0,0.02,0.75,0.06,0.0,0.14
12,"[727, 68, 264, 329]",0.03,0.0,0.03,0.67,0.08,0.0,0.19
13,"[721, 70, 269, 335]",0.04,0.0,0.07,0.53,0.17,0.0,0.2
14,"[1198, 255, 31, 42]",0.2,0.0,0.09,0.13,0.2,0.06,0.33
15,"[1207, 288, 27, 38]",0.09,0.02,0.1,0.07,0.24,0.11,0.37
16,"[1202, 252, 28, 40]",0.19,0.01,0.1,0.14,0.07,0.05,0.44
17,"[725, 62, 257, 314]",0.01,0.0,0.01,0.87,0.02,0.0,0.08
18,"[729, 60, 255, 317]",0.02,0.0,0.03,0.58,0.07,0.0,0.29
19,"[737, 62, 252, 316]",0.02,0.0,0.04,0.57,0.08,0.0,0.29
20,"[735, 58, 259, 324]",0.03,0.0,0.04,0.66,0.08,0.0,0.18
21,"[737, 58, 260, 323]",0.03,0.0,0.03,0.74,0.06,0.0,0.14
22,"[763, 78, 261, 326]",0.04,0.0,0.15,0.31,0.15,0.01,0.34
23,"[761, 78, 263, 330]",0.03,0.0,0.12,0.19,0.19,0.01,0.47
24,"[1206, 291, 26, 33]",0.14,0.0,0.15,0.08,0.27,0.03,0.33
25,"[730, 65, 255, 319]",0.02,0.0,0.04,0.6,0.1,0.0,0.24
26,"[733, 59, 257, 321]",0.02,0.0,0.02,0.7,0.07,0.0,0.2
27,"[1201, 670, 21, 27]",0.34,0.02,0.06,0.14,0.11,0.11,0.22
28,"[1203, 667, 26, 34]",0.27,0.0,0.14,0.08,0.17,0.1,0.24
29,"[1203, 255, 25, 33]",0.13,0.0,0.11,0.06,0.34,0.03,0.33
30,"[733, 43, 269, 337]",0.02,0.0,0.03,0.67,0.08,0.0,0.2
31,"[719, 38, 269, 335]",0.06,0.0,0.04,0.62,0.1,0.0,0.18
32,"[714, 41, 263, 329]",0.02,0.0,0.02,0.69,0.06,0.0,0.21
33,"[1205, 322, 29, 42]",0.03,0.0,0.18,0.11,0.16,0.07,0.45
34,"[701, 26, 263, 328]",0.03,0.0,0.06,0.52,0.08,0.0,0.31
35,"[722, 0, 278, 341]",0.03,0.0,0.03,0.41,0.18,0.0,0.34
36,"[720, 0, 283, 346]",0.03,0.0,0.04,0.5,0.11,0.0,0.32
37,"[721, 0, 280, 345]",0.04,0.0,0.05,0.45,0.14,0.0,0.32
38,"[722, 0, 282, 346]",0.04,0.0,0.04,0.4,0.16,0.0,0.36
39,"[726, 0, 279, 345]",0.04,0.0,0.04,0.45,0.18,0.0,0.29
40,"[731, 0, 283, 353]",0.03,0.0,0.05,0.57,0.16,0.0,0.19
41,"[732, 0, 275, 339]",0.04,0.0,0.06,0.36,0.2,0.0,0.33
42,"[1209, 287, 26, 36]",0.1,0.01,0.19,0.1,0.15,0.05,0.4
43,"[1159, 672, 16, 22]",0.48,0.01,0.15,0.11,0.09,0.05,0.11
44,"[1210, 323, 24, 37]",0.13,0.0,0.09,0.09,0.34,0.04,0.31
45,"[1211, 252, 19, 25]",0.12,0.03,0.12,0.05,0.21,0.03,0.45
46,"[1204, 252, 28, 37]",0.07,0.0,0.12,0.15,0.17,0.01,0.47
47,"[938, 178, 27, 39]",0.22,0.0,0.14,0.17,0.17,0.02,0.28
48,"[839, 0, 282, 315]",0.25,0.0,0.16,0.15,0.24,0.0,0.19
49,"[843, 0, 284, 318]",0.25,0.0,0.14,0.18,0.19,0.0,0.23
50,"[839, 0, 298, 323]",0.29,0.0,0.18,0.06,0.23,0.01,0.24
51,"[835, 0, 306, 329]",0.3,0.0,0.17,0.2,0.18,0.0,0.15
52,"[833, 0, 308, 331]",0.26,0.0,0.26,0.09,0.25,0.0,0.14
53,"[823, 0, 305, 335]",0.12,0.0,0.27,0.02,0.43,0.0,0.15
54,"[825, 0, 303, 338]",0.19,0.0,0.18,0.08,0.43,0.0,0.12
55,"[821, 0, 303, 338]",0.25,0.0,0.13,0.05,0.41,0.0,0.15
56,"[809, 0, 292, 333]",0.09,0.0,0.25,0.1,0.41,0.0,0.15
57,"[1125, 100, 35, 52]",0.15,0.0,0.06,0.02,0.36,0.05,0.36
58,"[808, 0, 301, 330]",0.08,0.0,0.23,0.12,0.44,0.0,0.12
59,"[810, 0, 300, 327]",0.17,0.0,0.22,0.19,0.3,0.0,0.12
60,"[800, 0, 295, 321]",0.1,0.0,0.17,0.19,0.33,0.01,0.2
61,"[740, 18, 286, 364]",0.14,0.0,0.23,0.14,0.22,0.01,0.26
62,"[729, 41, 270, 334]",0.15,0.0,0.11,0.35,0.21,0.0,0.18
63,"[719, 50, 268, 328]",0.07,0.0,0.2,0.2,0.23,0.0,0.3
64,"[712, 46, 270, 334]",0.1,0.0,0.15,0.28,0.25,0.0,0.22
65,"[712, 54, 267, 331]",0.07,0.0,0.13,0.42,0.17,0.0,0.21
66,"[706, 56, 272, 339]",0.07,0.0,0.14,0.44,0.14,0.01,0.21
67,"[697, 67, 278, 347]",0.04,0.0,0.13,0.43,0.16,0.0,0.24
68,"[694, 65, 285, 358]",0.04,0.0,0.13,0.46,0.11,0.01,0.25
69,"[696, 66, 281, 354]",0.03,0.0,0.1,0.55,0.08,0.0,0.24
70,"[697, 67, 279, 351]",0.03,0.0,0.1,0.51,0.09,0.0,0.26
71,"[696, 66, 280, 352]",0.03,0.0,0.13,0.43,0.14,0.0,0.26
72,"[705, 77, 273, 340]",0.05,0.0,0.12,0.52,0.1,0.0,0.21
73,"[705, 76, 273, 340]",0.05,0.0,0.1,0.5,0.11,0.0,0.23
74,"[706, 75, 273, 341]",0.03,0.0,0.07,0.45,0.09,0.0,0.35
75,"[1177, 669, 20, 25]",0.39,0.01,0.14,0.14,0.13,0.08,0.1
76,"[1203, 252, 27, 35]",0.16,0.0,0.16,0.11,0.13,0.05,0.39
77,"[729, 69, 259, 329]",0.05,0.0,0.06,0.51,0.14,0.0,0.23
78,"[729, 37, 251, 321]",0.03,0.0,0.06,0.67,0.1,0.0,0.14
79,"[731, 44, 247, 313]",0.07,0.0,0.11,0.34,0.21,0.01,0.26
80,"[729, 44, 248, 312]",0.05,0.0,0.07,0.53,0.12,0.0,0.22
81,"[725, 27, 254, 330]",0.07,0.0,0.09,0.48,0.16,0.0,0.2
82,"[1129, 672, 25, 28]",0.26,0.0,0.23,0.07,0.14,0.07,0.23
83,"[1206, 254, 24, 35]",0.18,0.03,0.07,0.08,0.18,0.03,0.42
84,"[1138, 685, 21, 26]",0.04,0.0,0.19,0.15,0.34,0.03,0.25
85,"[1140, 685, 20, 25]",0.2,0.0,0.12,0.11,0.28,0.02,0.26
86,"[1153, 676, 27, 38]",0.04,0.0,0.05,0.09,0.27,0.01,0.54
87,"[1165, 677, 17, 23]",0.1,0.0,0.02,0.04,0.05,0.05,0.74
88,"[1199, 253, 30, 41]",0.04,0.0,0.09,0.13,0.37,0.02,0.34
89,"[1125, 674, 26, 30]",0.14,0.0,0.14,0.27,0.14,0.05,0.27
90,"[683, 86, 260, 331]",0.03,0.0,0.11,0.51,0.13,0.0,0.22
91,"[1207, 301, 26, 37]",0.16,0.0,0.12,0.06,0.18,0.03,0.46
92,"[1198, 254, 33, 45]",0.06,0.0,0.19,0.16,0.18,0.04,0.36
93,"[1198, 251, 31, 38]",0.09,0.0,0.19,0.02,0.24,0.05,0.41
94,"[1152, 686, 23, 32]",0.02,0.0,0.07,0.16,0.32,0.03,0.4
95,"[1232, 666, 24, 27]",0.51,0.12,0.07,0.1,0.08,0.02,0.1
96,"[1207, 680, 24, 36]",0.08,0.0,0.12,0.24,0.29,0.02,0.26
97,"[1130, 669, 25, 33]",0.48,0.02,0.06,0.1,0.19,0.04,0.13
98,"[733, 107, 230, 283]",0.12,0.0,0.31,0.18,0.15,0.01,0.23
99,"[1178, 694, 18, 26]",0.15,0.0,0.16,0.18,0.15,0.09,0.27
100,"[733, 104, 243, 300]",0.07,0.0,0.12,0.57,0.08,0.0,0.16
101,"[1197, 246, 33, 47]",0.16,0.03,0.1,0.15,0.13,0.03,0.41
102,"[1183, 694, 17, 27]",0.07,0.0,0.18,0.07,0.16,0.02,0.5
103,"[728, 87, 263, 325]",0.06,0.0,0.08,0.53,0.15,0.0,0.18
104,"[1197, 670, 23, 29]",0.23,0.0,0.12,0.04,0.19,0.03,0.39
105,"[1220, 684, 23, 28]",0.13,0.0,0.14,0.02,0.61,0.0,0.09
106,"[1182, 671, 19, 23]",0.4,0.02,0.06,0.11,0.05,0.05,0.31
107,"[727, 85, 284, 337]",0.02,0.0,0.04,0.68,0.04,0.0,0.21
108,"[781, 90, 273, 338]",0.01,0.0,0.03,0.77,0.07,0.0,0.12
109,"[778, 88, 279, 345]",0.01,0.0,0.03,0.71,0.1,0.0,0.15
110,"[787, 94, 271, 336]",0.01,0.0,0.04,0.63,0.13,0.0,0.19
111,"[771, 95, 277, 344]",0.03,0.0,0.06,0.51,0.16,0.0,0.23
112,"[1051, 659, 18, 25]",0.13,0.01,0.13,0.14,0.19,0.16,0.24
113,"[793, 66, 280, 345]",0.04,0.0,0.06,0.4,0.28,0.0,0.21
114,"[781, 65, 274, 342]",0.05,0.0,0.06,0.6,0.11,0.0,0.19
115,"[780, 61, 265, 327]",0.07,0.0,0.09,0.34,0.23,0.0,0.26
116,"[768, 60, 269, 333]",0.09,0.0,0.15,0.22,0.25,0.01,0.29
117,"[735, 65, 282, 349]",0.05,0.0,0.09,0.38,0.19,0.0,0.28
118,"[730, 67, 284, 352]",0.04,0.0,0.1,0.3,0.24,0.0,0.31
119,"[732, 72, 282, 350]",0.04,0.0,0.1,0.47,0.16,0.0,0.22
120,"[723, 75, 287, 356]",0.03,0.0,0.11,0.46,0.12,0.0,0.28
121,"[728, 76, 285, 350]",0.04,0.0,0.13,0.35,0.2,0.0,0.28
122,"[731, 73, 284, 349]",0.04,0.0,0.11,0.31,0.22,0.0,0.3
123,"[742, 62, 285, 355]",0.05,0.0,0.09,0.35,0.24,0.0,0.27
124,"[758, 69, 277, 345]",0.03,0.0,0.05,0.49,0.17,0.0,0.26
125,"[768, 69, 277, 352]",0.03,0.0,0.06,0.49,0.12,0.0,0.29
126,"[778, 74, 277, 348]",0.02,0.0,0.05,0.52,0.11,0.0,0.29
127,"[796, 85, 276, 344]",0.02,0.0,0.06,0.54,0.14,0.0,0.23
128,"[788, 87, 272, 341]",0.02,0.0,0.04,0.63,0.12,0.0,0.19
129,"[793, 94, 271, 332]",0.03,0.0,0.05,0.53,0.15,0.0,0.23
130,"[794, 91, 273, 336]",0.05,0.0,0.1,0.47,0.18,0.0,0.2
131,"[792, 81, 280, 343]",0.01,0.0,0.04,0.68,0.07,0.0,0.19
132,"[798, 91, 279, 344]",0.02,0.0,0.03,0.66,0.12,0.0,0.17
133,"[790, 84, 273, 336]",0.02,0.0,0.04,0.74,0.07,0.0,0.14
134,"[776, 81, 272, 338]",0.04,0.0,0.08,0.54,0.11,0.01,0.22
135,"[765, 81, 274, 339]",0.03,0.0,0.06,0.52,0.13,0.0,0.25
136,"[754, 73, 275, 347]",0.02,0.0,0.04,0.63,0.1,0.0,0.2
137,"[750, 77, 277, 347]",0.03,0.0,0.06,0.53,0.11,0.0,0.27
138,"[777, 118, 281, 349]",0.05,0.0,0.13,0.18,0.38,0.0,0.25
139,"[782, 118, 279, 347]",0.03,0.0,0.06,0.31,0.36,0.0,0.24
140,"[783, 117, 278, 345]",0.03,0.0,0.06,0.53,0.24,0.0,0.13
141,"[775, 101, 276, 340]",0.03,0.0,0.12,0.37,0.21,0.0,0.26
142,"[777, 103, 270, 335]",0.04,0.0,0.1,0.34,0.21,0.0,0.31
143,"[776, 103, 272, 337]",0.02,0.0,0.05,0.5,0.16,0.0,0.26
144,"[784, 101, 270, 335]",0.03,0.0,0.04,0.58,0.1,0.0,0.25
145,"[792, 94, 272, 338]",0.03,0.0,0.06,0.53,0.14,0.0,0.24
146,"[783, 96, 270, 334]",0.05,0.0,0.07,0.46,0.14,0.0,0.26
147,"[763, 113, 284, 349]",0.05,0.0,0.11,0.42,0.21,0.0,0.21
148,"[774, 103, 274, 337]",0.02,0.0,0.07,0.48,0.16,0.0,0.27
149,"[775, 93, 275, 340]",0.03,0.0,0.04,0.56,0.11,0.0,0.25
150,"[695, 68, 294, 363]",0.18,0.0,0.15,0.16,0.29,0.0,0.22
151,"[1204, 292, 20, 31]",0.12,0.0,0.08,0.11,0.26,0.05,0.38
152,"[1202, 255, 29, 40]",0.09,0.0,0.11,0.05,0.29,0.03,0.43
153,"[1112, 672, 23, 28]",0.38,0.0,0.12,0.03,0.12,0.05,0.29
