,box,angry,disgust,fear,happy,sad,surprise,neutral
72,"[540, 390, 176, 214]",0.07,0.0,0.04,0.01,0.13,0.0,0.76
73,"[539, 390, 176, 215]",0.04,0.0,0.04,0.0,0.13,0.0,0.79
74,"[539, 389, 177, 217]",0.04,0.0,0.04,0.0,0.14,0.0,0.77
75,"[539, 389, 178, 216]",0.05,0.0,0.05,0.01,0.19,0.0,0.71
76,"[540, 392, 175, 213]",0.06,0.0,0.04,0.0,0.16,0.0,0.73
77,"[540, 390, 176, 218]",0.05,0.0,0.06,0.0,0.22,0.0,0.67
78,"[539, 391, 175, 215]",0.05,0.0,0.06,0.0,0.17,0.0,0.71
79,"[535, 387, 182, 223]",0.05,0.0,0.08,0.01,0.22,0.0,0.63
80,"[545, 392, 175, 213]",0.12,0.0,0.09,0.02,0.3,0.0,0.48
81,"[540, 389, 176, 216]",0.06,0.0,0.05,0.01,0.26,0.0,0.62
82,"[543, 390, 176, 217]",0.18,0.0,0.07,0.03,0.43,0.0,0.3
83,"[541, 389, 177, 217]",0.11,0.0,0.06,0.02,0.33,0.0,0.48
84,"[542, 388, 179, 220]",0.1,0.0,0.05,0.01,0.33,0.0,0.51
85,"[542, 391, 175, 216]",0.06,0.0,0.05,0.0,0.26,0.0,0.62
86,"[537, 388, 178, 219]",0.07,0.0,0.06,0.01,0.27,0.0,0.59
87,"[543, 393, 173, 214]",0.08,0.0,0.06,0.0,0.29,0.0,0.56
88,"[543, 392, 175, 217]",0.1,0.0,0.07,0.01,0.3,0.0,0.52
89,"[543, 395, 174, 213]",0.08,0.0,0.06,0.0,0.29,0.0,0.58
90,"[544, 397, 172, 211]",0.14,0.0,0.11,0.01,0.27,0.0,0.46
91,"[543, 397, 171, 212]",0.11,0.0,0.1,0.03,0.25,0.0,0.51
92,"[543, 396, 173, 212]",0.08,0.0,0.07,0.01,0.19,0.0,0.65
93,"[545, 399, 170, 208]",0.11,0.0,0.06,0.02,0.16,0.0,0.65
94,"[543, 395, 173, 214]",0.08,0.0,0.06,0.01,0.21,0.0,0.64
95,"[544, 399, 171, 210]",0.11,0.0,0.06,0.01,0.16,0.0,0.66
96,"[546, 398, 170, 211]",0.1,0.0,0.07,0.01,0.23,0.0,0.59
97,"[545, 397, 170, 212]",0.09,0.0,0.05,0.02,0.2,0.0,0.64
98,"[543, 396, 173, 214]",0.1,0.0,0.07,0.01,0.24,0.0,0.58
99,"[545, 400, 171, 210]",0.13,0.0,0.08,0.01,0.23,0.0,0.56
100,"[542, 398, 174, 213]",0.11,0.0,0.06,0.01,0.27,0.0,0.54
101,"[539, 394, 178, 219]",0.08,0.0,0.07,0.01,0.33,0.0,0.51
102,"[541, 397, 175, 215]",0.07,0.0,0.06,0.01,0.2,0.0,0.66
103,"[541, 397, 176, 215]",0.11,0.0,0.07,0.01,0.24,0.0,0.56
104,"[540, 397, 177, 216]",0.09,0.0,0.08,0.01,0.24,0.0,0.58
105,"[540, 398, 176, 213]",0.11,0.0,0.05,0.01,0.42,0.0,0.4
106,"[541, 398, 174, 212]",0.12,0.0,0.04,0.03,0.31,0.0,0.5
107,"[541, 396, 176, 215]",0.1,0.0,0.04,0.01,0.36,0.0,0.48
108,"[544, 397, 172, 212]",0.1,0.0,0.06,0.0,0.32,0.0,0.52
109,"[545, 397, 170, 210]",0.13,0.0,0.08,0.02,0.24,0.0,0.53
110,"[543, 395, 174, 214]",0.11,0.0,0.1,0.02,0.29,0.0,0.48
111,"[544, 397, 171, 212]",0.1,0.0,0.08,0.01,0.34,0.0,0.46
112,"[536, 395, 178, 217]",0.04,0.0,0.06,0.01,0.25,0.0,0.62
113,"[542, 397, 173, 212]",0.09,0.0,0.08,0.01,0.28,0.0,0.53
114,"[537, 395, 177, 214]",0.08,0.0,0.05,0.01,0.2,0.0,0.65
115,"[540, 397, 174, 213]",0.07,0.0,0.08,0.01,0.25,0.0,0.6
116,"[542, 398, 172, 212]",0.06,0.0,0.06,0.01,0.21,0.0,0.66
117,"[541, 397, 174, 214]",0.1,0.0,0.05,0.01,0.25,0.0,0.59
118,"[542, 398, 173, 213]",0.08,0.0,0.06,0.01,0.25,0.0,0.6
119,"[541, 398, 175, 215]",0.11,0.0,0.08,0.02,0.28,0.0,0.52
120,"[538, 398, 178, 218]",0.13,0.0,0.08,0.03,0.29,0.0,0.47
121,"[539, 399, 175, 214]",0.11,0.0,0.06,0.02,0.28,0.0,0.52
122,"[534, 399, 177, 213]",0.08,0.0,0.12,0.02,0.33,0.0,0.45
123,"[539, 399, 175, 215]",0.11,0.0,0.07,0.01,0.31,0.0,0.5
124,"[540, 399, 176, 215]",0.11,0.0,0.05,0.02,0.25,0.0,0.56
125,"[539, 399, 177, 218]",0.17,0.0,0.12,0.03,0.25,0.0,0.43
126,"[541, 406, 170, 208]",0.2,0.0,0.07,0.05,0.24,0.0,0.43
127,"[540, 404, 173, 211]",0.12,0.0,0.07,0.02,0.24,0.0,0.55
128,"[538, 402, 175, 212]",0.16,0.0,0.08,0.04,0.26,0.0,0.47
129,"[538, 397, 179, 220]",0.18,0.0,0.1,0.02,0.29,0.0,0.4
130,"[538, 398, 180, 218]",0.17,0.0,0.08,0.04,0.26,0.0,0.45
131,"[538, 398, 179, 217]",0.17,0.0,0.09,0.06,0.2,0.0,0.48
132,"[532, 399, 177, 215]",0.13,0.0,0.07,0.07,0.28,0.0,0.45
133,"[538, 399, 177, 216]",0.16,0.0,0.08,0.01,0.24,0.0,0.51
134,"[538, 400, 176, 215]",0.12,0.0,0.06,0.02,0.23,0.0,0.57
135,"[540, 401, 174, 213]",0.21,0.0,0.07,0.02,0.27,0.0,0.42
136,"[539, 401, 175, 214]",0.13,0.0,0.05,0.02,0.25,0.0,0.55
137,"[540, 401, 174, 214]",0.14,0.0,0.06,0.01,0.27,0.0,0.51
138,"[539, 400, 174, 215]",0.14,0.0,0.06,0.02,0.28,0.0,0.51
139,"[539, 400, 175, 215]",0.11,0.0,0.07,0.02,0.23,0.0,0.56
140,"[540, 400, 176, 214]",0.21,0.0,0.06,0.04,0.29,0.0,0.39
141,"[537, 401, 174, 213]",0.12,0.0,0.08,0.02,0.26,0.0,0.51
142,"[536, 402, 175, 213]",0.1,0.0,0.09,0.01,0.24,0.0,0.55
143,"[536, 400, 176, 216]",0.09,0.0,0.09,0.01,0.37,0.0,0.43
144,"[533, 396, 180, 219]",0.07,0.0,0.09,0.04,0.53,0.0,0.27
145,"[532, 397, 180, 218]",0.09,0.0,0.12,0.04,0.57,0.0,0.18
146,"[532, 396, 180, 221]",0.05,0.0,0.13,0.05,0.52,0.0,0.24
147,"[533, 396, 179, 218]",0.07,0.0,0.07,0.02,0.46,0.0,0.37
148,"[540, 399, 175, 213]",0.12,0.0,0.05,0.02,0.35,0.0,0.45
149,"[538, 398, 178, 215]",0.13,0.0,0.06,0.01,0.37,0.0,0.43
150,"[538, 398, 176, 213]",0.07,0.0,0.05,0.01,0.29,0.0,0.57
151,"[537, 395, 178, 219]",0.1,0.0,0.1,0.01,0.36,0.0,0.44
152,"[539, 395, 177, 218]",0.11,0.0,0.07,0.01,0.35,0.0,0.46
153,"[532, 397, 177, 213]",0.04,0.0,0.08,0.01,0.27,0.0,0.6
154,"[538, 395, 176, 215]",0.07,0.0,0.09,0.0,0.27,0.0,0.57
155,"[539, 394, 176, 216]",0.09,0.0,0.08,0.01,0.27,0.0,0.54
156,"[542, 397, 171, 210]",0.08,0.0,0.05,0.02,0.21,0.0,0.64
157,"[541, 396, 172, 212]",0.11,0.0,0.08,0.01,0.28,0.0,0.52
158,"[541, 396, 171, 211]",0.07,0.0,0.04,0.01,0.23,0.0,0.64
159,"[540, 394, 174, 214]",0.07,0.0,0.07,0.01,0.22,0.0,0.63
160,"[541, 396, 173, 212]",0.08,0.0,0.09,0.0,0.26,0.0,0.57
161,"[540, 394, 173, 214]",0.08,0.0,0.08,0.01,0.27,0.0,0.56
162,"[542, 397, 172, 211]",0.07,0.0,0.07,0.0,0.18,0.0,0.67
163,"[542, 396, 172, 213]",0.09,0.0,0.09,0.01,0.12,0.0,0.69
164,"[541, 394, 173, 214]",0.07,0.0,0.07,0.0,0.24,0.0,0.62
165,"[542, 400, 170, 208]",0.13,0.0,0.07,0.0,0.31,0.0,0.48
166,"[540, 394, 174, 213]",0.11,0.0,0.04,0.01,0.39,0.0,0.45
167,"[541, 395, 173, 213]",0.08,0.0,0.06,0.0,0.36,0.0,0.5
168,"[539, 395, 172, 212]",0.06,0.0,0.04,0.0,0.22,0.0,0.67
169,"[539, 394, 172, 213]",0.1,0.0,0.05,0.0,0.3,0.0,0.55
170,"[540, 394, 172, 212]",0.06,0.0,0.06,0.0,0.26,0.0,0.62
171,"[540, 396, 171, 209]",0.08,0.0,0.06,0.0,0.21,0.0,0.66
172,"[540, 394, 172, 211]",0.06,0.0,0.03,0.0,0.16,0.0,0.74
173,"[541, 394, 171, 211]",0.08,0.0,0.05,0.0,0.18,0.0,0.68
174,"[539, 391, 173, 215]",0.08,0.0,0.06,0.0,0.19,0.0,0.67
175,"[540, 392, 173, 213]",0.11,0.0,0.06,0.0,0.28,0.0,0.54
176,"[541, 391, 173, 214]",0.15,0.0,0.06,0.01,0.19,0.0,0.59
177,"[540, 389, 176, 217]",0.16,0.0,0.07,0.01,0.21,0.0,0.56
178,"[542, 393, 173, 213]",0.11,0.0,0.07,0.0,0.2,0.0,0.61
179,"[539, 391, 175, 216]",0.07,0.0,0.07,0.0,0.24,0.0,0.6
180,"[542, 393, 171, 212]",0.11,0.0,0.06,0.0,0.18,0.0,0.64
181,"[539, 391, 175, 215]",0.1,0.0,0.08,0.0,0.25,0.0,0.56
182,"[538, 391, 176, 215]",0.1,0.0,0.07,0.0,0.19,0.0,0.64
183,"[538, 391, 173, 215]",0.06,0.0,0.04,0.0,0.18,0.0,0.71
184,"[537, 391, 175, 215]",0.09,0.0,0.05,0.0,0.23,0.0,0.62
185,"[538, 391, 175, 216]",0.1,0.0,0.06,0.01,0.25,0.0,0.58
186,"[538, 389, 176, 216]",0.09,0.0,0.06,0.01,0.27,0.0,0.58
187,"[536, 387, 177, 216]",0.1,0.0,0.07,0.01,0.25,0.0,0.57
188,"[540, 386, 174, 213]",0.11,0.0,0.05,0.01,0.32,0.0,0.51
189,"[530, 379, 180, 222]",0.1,0.0,0.05,0.01,0.3,0.0,0.55
190,"[526, 366, 184, 227]",0.04,0.0,0.02,0.0,0.13,0.0,0.81
191,"[532, 374, 179, 220]",0.04,0.0,0.03,0.0,0.13,0.0,0.8
192,"[535, 375, 175, 214]",0.05,0.0,0.02,0.0,0.1,0.0,0.83
193,"[535, 375, 176, 214]",0.06,0.0,0.03,0.0,0.12,0.0,0.79
194,"[535, 375, 177, 215]",0.03,0.0,0.02,0.0,0.09,0.0,0.85
195,"[534, 374, 176, 214]",0.08,0.0,0.03,0.0,0.13,0.0,0.75
196,"[535, 376, 174, 212]",0.06,0.0,0.03,0.0,0.11,0.0,0.8
197,"[526, 362, 182, 224]",0.04,0.0,0.01,0.0,0.14,0.0,0.81
198,"[529, 371, 181, 221]",0.03,0.0,0.01,0.0,0.13,0.0,0.83
199,"[523, 365, 185, 228]",0.04,0.0,0.02,0.0,0.14,0.0,0.79
200,"[525, 363, 183, 225]",0.04,0.0,0.02,0.01,0.13,0.0,0.8
201,"[525, 364, 185, 227]",0.03,0.0,0.01,0.01,0.11,0.0,0.83
202,"[524, 366, 184, 226]",0.02,0.0,0.02,0.01,0.11,0.0,0.84
203,"[524, 366, 185, 228]",0.02,0.0,0.01,0.01,0.08,0.0,0.88
204,"[533, 376, 176, 217]",0.03,0.0,0.01,0.0,0.1,0.0,0.86
205,"[530, 374, 184, 225]",0.09,0.0,0.05,0.01,0.15,0.0,0.7
206,"[527, 368, 184, 227]",0.04,0.0,0.02,0.01,0.1,0.0,0.84
207,"[527, 366, 186, 230]",0.04,0.0,0.01,0.01,0.08,0.0,0.86
208,"[535, 378, 177, 216]",0.06,0.0,0.03,0.0,0.09,0.0,0.81
209,"[527, 366, 185, 228]",0.02,0.0,0.01,0.01,0.05,0.0,0.91
210,"[530, 372, 182, 225]",0.04,0.0,0.03,0.0,0.17,0.0,0.76
211,"[527, 367, 183, 228]",0.02,0.0,0.01,0.01,0.07,0.0,0.89
212,"[528, 368, 182, 226]",0.01,0.0,0.01,0.0,0.04,0.0,0.93
213,"[526, 369, 181, 225]",0.03,0.0,0.01,0.01,0.11,0.0,0.84
214,"[531, 379, 180, 221]",0.15,0.0,0.12,0.01,0.29,0.0,0.42
215,"[528, 370, 182, 225]",0.1,0.0,0.03,0.01,0.16,0.0,0.69
216,"[526, 368, 183, 228]",0.06,0.0,0.02,0.02,0.14,0.0,0.75
217,"[526, 368, 184, 228]",0.05,0.0,0.02,0.01,0.13,0.0,0.79
218,"[525, 367, 185, 229]",0.04,0.0,0.02,0.01,0.14,0.0,0.78
219,"[527, 368, 183, 229]",0.05,0.0,0.02,0.03,0.11,0.0,0.79
220,"[526, 367, 183, 228]",0.04,0.0,0.02,0.01,0.1,0.0,0.84
221,"[528, 371, 185, 229]",0.09,0.0,0.04,0.01,0.2,0.0,0.67
222,"[526, 372, 182, 225]",0.06,0.0,0.02,0.01,0.15,0.0,0.76
223,"[526, 372, 182, 226]",0.05,0.0,0.02,0.0,0.15,0.0,0.78
224,"[526, 371, 183, 227]",0.05,0.0,0.02,0.01,0.13,0.0,0.79
225,"[525, 372, 183, 224]",0.07,0.0,0.02,0.01,0.12,0.0,0.78
226,"[528, 380, 180, 222]",0.08,0.0,0.05,0.0,0.23,0.0,0.63
227,"[526, 372, 182, 226]",0.06,0.0,0.02,0.01,0.14,0.0,0.77
228,"[525, 372, 182, 226]",0.06,0.0,0.02,0.01,0.14,0.0,0.77
229,"[524, 370, 183, 226]",0.07,0.0,0.02,0.01,0.12,0.0,0.78
