,box,angry,disgust,fear,happy,sad,surprise,neutral
0,"[575, 353, 172, 208]",0.08,0.0,0.03,0.0,0.05,0.0,0.83
1,"[575, 353, 172, 206]",0.05,0.0,0.03,0.01,0.04,0.0,0.87
2,"[574, 354, 172, 207]",0.03,0.0,0.03,0.01,0.04,0.0,0.89
3,"[574, 356, 172, 206]",0.03,0.0,0.03,0.0,0.03,0.0,0.9
4,"[576, 357, 169, 205]",0.03,0.0,0.02,0.0,0.03,0.0,0.93
5,"[574, 359, 172, 205]",0.03,0.0,0.02,0.0,0.02,0.0,0.93
6,"[573, 357, 172, 206]",0.02,0.0,0.01,0.0,0.02,0.0,0.95
7,"[571, 355, 175, 213]",0.01,0.0,0.01,0.0,0.02,0.0,0.95
8,"[571, 357, 175, 211]",0.01,0.0,0.01,0.0,0.01,0.0,0.96
9,"[568, 356, 178, 215]",0.01,0.0,0.01,0.0,0.02,0.0,0.95
10,"[570, 360, 177, 212]",0.02,0.0,0.01,0.0,0.02,0.0,0.95
11,"[570, 360, 177, 212]",0.02,0.0,0.01,0.0,0.02,0.0,0.95
12,"[572, 360, 176, 212]",0.02,0.0,0.02,0.0,0.03,0.0,0.94
13,"[570, 359, 179, 215]",0.02,0.0,0.01,0.0,0.03,0.0,0.94
14,"[571, 359, 177, 214]",0.02,0.0,0.01,0.0,0.03,0.0,0.94
15,"[572, 359, 177, 214]",0.02,0.0,0.01,0.0,0.03,0.0,0.93
16,"[572, 357, 178, 216]",0.02,0.0,0.02,0.0,0.03,0.0,0.93
17,"[573, 358, 178, 213]",0.01,0.0,0.01,0.0,0.02,0.0,0.95
18,"[574, 358, 177, 214]",0.01,0.0,0.02,0.0,0.02,0.0,0.95
19,"[568, 351, 178, 217]",0.03,0.0,0.02,0.0,0.07,0.0,0.88
20,"[575, 361, 177, 213]",0.02,0.0,0.01,0.0,0.05,0.0,0.92
21,"[575, 362, 176, 213]",0.02,0.0,0.01,0.0,0.04,0.0,0.93
22,"[573, 363, 178, 214]",0.02,0.0,0.01,0.0,0.03,0.0,0.93
23,"[573, 365, 176, 212]",0.02,0.0,0.01,0.0,0.05,0.0,0.92
24,"[575, 366, 174, 210]",0.04,0.0,0.01,0.0,0.05,0.0,0.9
25,"[573, 365, 176, 212]",0.02,0.0,0.01,0.0,0.03,0.0,0.94
26,"[574, 366, 176, 211]",0.04,0.0,0.02,0.0,0.06,0.0,0.88
27,"[573, 365, 177, 213]",0.02,0.0,0.02,0.0,0.05,0.0,0.91
28,"[567, 361, 181, 219]",0.02,0.0,0.02,0.0,0.04,0.0,0.92
29,"[569, 363, 180, 218]",0.02,0.0,0.02,0.0,0.08,0.0,0.88
30,"[566, 359, 183, 224]",0.02,0.0,0.03,0.01,0.06,0.0,0.88
31,"[571, 365, 180, 217]",0.02,0.0,0.02,0.0,0.04,0.0,0.92
32,"[566, 359, 184, 223]",0.02,0.0,0.02,0.0,0.08,0.0,0.87
33,"[566, 360, 183, 223]",0.02,0.0,0.02,0.0,0.05,0.0,0.9
34,"[566, 359, 184, 224]",0.03,0.0,0.03,0.0,0.07,0.0,0.87
35,"[566, 360, 183, 222]",0.01,0.0,0.02,0.0,0.07,0.0,0.89
36,"[566, 360, 184, 222]",0.02,0.0,0.02,0.0,0.07,0.0,0.89
37,"[566, 361, 182, 221]",0.02,0.0,0.02,0.0,0.06,0.0,0.9
38,"[566, 361, 182, 222]",0.02,0.0,0.03,0.0,0.08,0.0,0.87
39,"[567, 361, 182, 221]",0.01,0.0,0.02,0.0,0.08,0.0,0.89
40,"[565, 360, 180, 219]",0.04,0.0,0.04,0.0,0.16,0.0,0.75
41,"[566, 361, 179, 218]",0.02,0.0,0.02,0.0,0.12,0.0,0.84
42,"[565, 359, 181, 222]",0.02,0.0,0.01,0.0,0.07,0.0,0.9
43,"[565, 359, 181, 220]",0.02,0.0,0.02,0.0,0.07,0.0,0.89
44,"[565, 360, 182, 221]",0.02,0.0,0.02,0.0,0.06,0.0,0.89
45,"[565, 360, 181, 221]",0.02,0.0,0.02,0.0,0.08,0.0,0.87
46,"[564, 361, 183, 222]",0.02,0.0,0.02,0.0,0.05,0.0,0.91
47,"[564, 362, 180, 219]",0.02,0.0,0.02,0.0,0.07,0.0,0.89
48,"[563, 360, 184, 223]",0.02,0.0,0.02,0.0,0.07,0.0,0.89
49,"[564, 360, 183, 221]",0.03,0.0,0.02,0.0,0.07,0.0,0.88
50,"[564, 364, 181, 220]",0.02,0.0,0.02,0.0,0.05,0.0,0.91
51,"[564, 361, 184, 224]",0.03,0.0,0.02,0.01,0.06,0.0,0.88
52,"[566, 362, 182, 222]",0.02,0.0,0.02,0.0,0.06,0.0,0.89
53,"[566, 364, 182, 222]",0.02,0.0,0.02,0.0,0.07,0.0,0.88
54,"[565, 362, 182, 223]",0.03,0.0,0.02,0.0,0.08,0.0,0.86
55,"[567, 365, 180, 219]",0.03,0.0,0.02,0.0,0.06,0.0,0.89
56,"[567, 364, 181, 221]",0.02,0.0,0.02,0.0,0.08,0.0,0.87
57,"[565, 365, 179, 219]",0.06,0.0,0.02,0.01,0.12,0.0,0.78
58,"[571, 369, 176, 215]",0.05,0.0,0.03,0.0,0.12,0.0,0.8
59,"[569, 366, 177, 217]",0.05,0.0,0.01,0.0,0.07,0.0,0.87
60,"[564, 364, 183, 221]",0.04,0.0,0.02,0.0,0.13,0.0,0.81
61,"[564, 364, 181, 221]",0.05,0.0,0.04,0.0,0.16,0.0,0.74
62,"[564, 365, 182, 222]",0.04,0.0,0.03,0.0,0.12,0.0,0.79
63,"[563, 363, 183, 223]",0.04,0.0,0.03,0.01,0.12,0.0,0.8
64,"[569, 371, 175, 212]",0.05,0.0,0.02,0.0,0.09,0.0,0.83
65,"[569, 371, 176, 214]",0.03,0.0,0.02,0.0,0.06,0.0,0.89
66,"[565, 366, 180, 221]",0.04,0.0,0.02,0.0,0.11,0.0,0.82
67,"[564, 366, 181, 220]",0.05,0.0,0.03,0.0,0.12,0.0,0.79
68,"[564, 364, 183, 223]",0.05,0.0,0.03,0.0,0.17,0.0,0.75
69,"[569, 371, 176, 215]",0.05,0.0,0.02,0.0,0.12,0.0,0.8
70,"[570, 372, 174, 213]",0.07,0.0,0.02,0.0,0.12,0.0,0.78
71,"[570, 372, 173, 212]",0.07,0.0,0.03,0.0,0.15,0.0,0.74
72,"[569, 371, 175, 215]",0.05,0.0,0.03,0.0,0.13,0.0,0.77
73,"[568, 373, 173, 211]",0.06,0.0,0.04,0.0,0.12,0.0,0.77
74,"[567, 373, 174, 212]",0.09,0.0,0.05,0.0,0.18,0.0,0.67
75,"[567, 373, 174, 212]",0.09,0.0,0.05,0.0,0.18,0.0,0.67
76,"[566, 373, 175, 212]",0.1,0.0,0.04,0.0,0.17,0.0,0.69
77,"[565, 373, 174, 211]",0.06,0.0,0.02,0.0,0.12,0.0,0.8
78,"[567, 373, 174, 211]",0.06,0.0,0.02,0.0,0.09,0.0,0.82
