,box,angry,disgust,fear,happy,sad,surprise,neutral
0,"[521, 284, 190, 223]",0.17,0.01,0.09,0.02,0.21,0.01,0.5
1,"[522, 285, 190, 222]",0.1,0.0,0.06,0.04,0.09,0.02,0.69
2,"[522, 284, 191, 224]",0.08,0.0,0.11,0.04,0.09,0.03,0.66
3,"[523, 285, 190, 223]",0.09,0.0,0.09,0.04,0.09,0.01,0.68
4,"[524, 285, 189, 223]",0.1,0.0,0.11,0.03,0.09,0.02,0.65
5,"[522, 285, 191, 223]",0.1,0.0,0.1,0.02,0.08,0.02,0.67
6,"[522, 285, 191, 224]",0.09,0.0,0.08,0.02,0.09,0.01,0.72
7,"[523, 285, 190, 226]",0.07,0.0,0.07,0.02,0.08,0.01,0.76
8,"[522, 284, 191, 226]",0.09,0.0,0.07,0.02,0.06,0.01,0.75
9,"[522, 285, 190, 225]",0.09,0.0,0.04,0.0,0.09,0.0,0.78
10,"[522, 285, 190, 223]",0.13,0.0,0.06,0.02,0.1,0.01,0.69
11,"[521, 285, 189, 223]",0.09,0.0,0.06,0.01,0.08,0.0,0.76
12,"[520, 285, 191, 223]",0.11,0.0,0.06,0.01,0.08,0.0,0.73
13,"[520, 283, 191, 225]",0.11,0.0,0.06,0.01,0.08,0.0,0.73
14,"[520, 284, 191, 225]",0.06,0.0,0.06,0.02,0.04,0.01,0.83
15,"[520, 284, 190, 223]",0.13,0.0,0.08,0.01,0.06,0.01,0.71
16,"[520, 282, 190, 224]",0.16,0.01,0.05,0.0,0.13,0.0,0.64
17,"[520, 283, 190, 223]",0.16,0.0,0.05,0.0,0.07,0.0,0.7
18,"[521, 282, 189, 224]",0.14,0.0,0.06,0.01,0.13,0.0,0.66
19,"[521, 284, 191, 225]",0.11,0.0,0.05,0.01,0.04,0.0,0.78
20,"[522, 284, 188, 223]",0.13,0.0,0.06,0.02,0.1,0.01,0.69
21,"[521, 284, 191, 222]",0.13,0.0,0.07,0.02,0.07,0.01,0.7
22,"[521, 283, 190, 222]",0.11,0.0,0.05,0.01,0.08,0.01,0.75
23,"[523, 283, 188, 221]",0.12,0.0,0.08,0.0,0.08,0.01,0.7
24,"[524, 283, 187, 221]",0.19,0.01,0.06,0.0,0.13,0.0,0.61
25,"[522, 279, 189, 223]",0.11,0.01,0.06,0.0,0.12,0.0,0.71
26,"[522, 282, 188, 221]",0.29,0.02,0.1,0.0,0.12,0.0,0.47
27,"[520, 279, 190, 222]",0.2,0.02,0.11,0.0,0.33,0.0,0.34
