,box,angry,disgust,fear,happy,sad,surprise,neutral
0,"[499, 310, 194, 243]",0.06,0.0,0.02,0.61,0.12,0.0,0.19
1,"[494, 321, 197, 239]",0.04,0.0,0.01,0.41,0.09,0.0,0.44
2,"[494, 326, 193, 232]",0.04,0.0,0.03,0.47,0.13,0.0,0.34
3,"[497, 326, 192, 233]",0.04,0.0,0.03,0.38,0.12,0.0,0.42
4,"[495, 324, 197, 239]",0.06,0.0,0.03,0.32,0.11,0.0,0.48
5,"[499, 329, 190, 233]",0.04,0.0,0.03,0.55,0.08,0.0,0.3
6,"[500, 328, 190, 231]",0.04,0.0,0.03,0.56,0.07,0.0,0.3
7,"[496, 321, 197, 242]",0.09,0.0,0.03,0.42,0.09,0.01,0.36
8,"[499, 317, 195, 243]",0.08,0.0,0.03,0.63,0.06,0.01,0.18
9,"[497, 311, 198, 250]",0.07,0.0,0.05,0.39,0.06,0.01,0.42
10,"[500, 306, 196, 248]",0.04,0.0,0.02,0.55,0.04,0.01,0.34
11,"[503, 304, 198, 248]",0.03,0.0,0.01,0.67,0.03,0.0,0.26
12,"[506, 301, 198, 248]",0.02,0.0,0.01,0.5,0.04,0.0,0.44
13,"[508, 304, 204, 250]",0.02,0.0,0.01,0.62,0.04,0.0,0.31
14,"[510, 301, 204, 250]",0.01,0.0,0.01,0.47,0.03,0.0,0.48
15,"[516, 296, 193, 241]",0.01,0.0,0.01,0.51,0.04,0.0,0.43
16,"[518, 296, 193, 239]",0.01,0.0,0.0,0.5,0.03,0.0,0.45
17,"[515, 298, 197, 237]",0.02,0.0,0.01,0.25,0.06,0.0,0.65
18,"[521, 290, 196, 246]",0.01,0.0,0.01,0.63,0.08,0.0,0.27
19,"[525, 307, 195, 233]",0.01,0.0,0.01,0.21,0.11,0.0,0.65
20,"[525, 291, 200, 251]",0.01,0.0,0.02,0.56,0.1,0.01,0.3
21,"[529, 312, 189, 230]",0.01,0.0,0.01,0.63,0.07,0.0,0.27
22,"[1092, 295, 55, 67]",0.43,0.0,0.04,0.28,0.11,0.01,0.13
23,"[531, 304, 208, 258]",0.02,0.0,0.01,0.78,0.01,0.01,0.17
24,"[529, 304, 207, 259]",0.03,0.0,0.03,0.7,0.02,0.01,0.22
25,"[524, 302, 206, 259]",0.03,0.0,0.03,0.64,0.02,0.01,0.27
26,"[522, 303, 203, 256]",0.02,0.0,0.01,0.63,0.02,0.01,0.31
27,"[520, 307, 203, 250]",0.01,0.0,0.01,0.78,0.01,0.0,0.19
28,"[518, 306, 202, 250]",0.01,0.0,0.01,0.83,0.01,0.0,0.15
29,"[516, 307, 202, 252]",0.01,0.0,0.01,0.74,0.01,0.0,0.23
30,"[509, 304, 217, 263]",0.01,0.0,0.01,0.66,0.01,0.0,0.31
31,"[512, 311, 201, 245]",0.01,0.0,0.01,0.68,0.01,0.0,0.29
32,"[513, 306, 202, 253]",0.01,0.0,0.01,0.54,0.02,0.0,0.42
33,"[505, 305, 213, 261]",0.01,0.0,0.01,0.69,0.01,0.0,0.28
34,"[505, 305, 212, 259]",0.01,0.0,0.01,0.67,0.01,0.0,0.31
35,"[505, 303, 210, 258]",0.01,0.0,0.01,0.72,0.02,0.0,0.24
36,"[509, 306, 197, 241]",0.02,0.0,0.01,0.56,0.03,0.0,0.39
37,"[508, 306, 197, 240]",0.01,0.0,0.01,0.4,0.02,0.0,0.57
38,"[508, 305, 196, 238]",0.01,0.0,0.01,0.31,0.02,0.0,0.65
39,"[507, 302, 196, 240]",0.01,0.0,0.01,0.34,0.03,0.0,0.61
40,"[505, 301, 198, 240]",0.01,0.0,0.01,0.35,0.02,0.0,0.61
41,"[505, 301, 197, 239]",0.01,0.0,0.01,0.27,0.03,0.0,0.67
42,"[506, 301, 198, 242]",0.01,0.0,0.01,0.31,0.02,0.0,0.65
43,"[507, 312, 197, 236]",0.01,0.0,0.01,0.11,0.03,0.0,0.83
44,"[504, 298, 200, 243]",0.02,0.0,0.01,0.12,0.04,0.0,0.81
45,"[506, 301, 197, 241]",0.01,0.0,0.0,0.33,0.01,0.0,0.64
