,box,angry,disgust,fear,happy,sad,surprise,neutral
0,"[56, 639, 23, 31]",0.05,0.0,0.12,0.08,0.26,0.09,0.4
1,"[572, 372, 224, 286]",0.05,0.0,0.04,0.59,0.08,0.01,0.24
2,"[1006, 690, 28, 35]",0.29,0.0,0.2,0.21,0.12,0.02,0.16
3,"[1233, 575, 15, 18]",0.33,0.01,0.2,0.11,0.11,0.1,0.15
4,"[1220, 175, 19, 29]",0.06,0.0,0.12,0.13,0.2,0.03,0.46
5,"[1002, 676, 13, 20]",0.13,0.0,0.11,0.09,0.22,0.04,0.41
6,"[1215, 165, 22, 30]",0.06,0.0,0.21,0.07,0.29,0.06,0.31
7,"[1214, 189, 23, 29]",0.11,0.0,0.2,0.14,0.26,0.02,0.28
8,"[1214, 160, 22, 25]",0.19,0.0,0.05,0.07,0.09,0.18,0.41
9,"[1164, 610, 22, 30]",0.23,0.0,0.23,0.17,0.09,0.12,0.15
10,"[1211, 163, 24, 31]",0.1,0.0,0.09,0.05,0.26,0.03,0.47
11,"[1217, 164, 22, 32]",0.03,0.0,0.02,0.01,0.08,0.02,0.83
12,"[1205, 163, 30, 43]",0.05,0.0,0.21,0.08,0.43,0.07,0.16
13,"[1216, 175, 23, 35]",0.14,0.0,0.16,0.09,0.29,0.04,0.28
14,"[973, 652, 18, 25]",0.44,0.0,0.11,0.03,0.1,0.08,0.23
15,"[986, 684, 16, 23]",0.12,0.0,0.13,0.26,0.23,0.08,0.18
16,"[1256, 651, 23, 33]",0.09,0.01,0.07,0.16,0.25,0.19,0.24
17,"[1206, 155, 33, 45]",0.12,0.0,0.15,0.05,0.12,0.03,0.53
18,"[1024, 650, 20, 29]",0.32,0.0,0.11,0.1,0.26,0.05,0.16
19,"[1215, 164, 24, 33]",0.11,0.02,0.1,0.17,0.24,0.03,0.34
20,"[1213, 209, 28, 45]",0.22,0.02,0.13,0.11,0.16,0.02,0.34
21,"[1222, 166, 17, 23]",0.17,0.04,0.24,0.1,0.28,0.05,0.12
22,"[1200, 161, 39, 51]",0.05,0.0,0.18,0.07,0.24,0.06,0.4
23,"[1210, 161, 27, 35]",0.09,0.0,0.12,0.08,0.1,0.02,0.59
24,"[1205, 160, 33, 48]",0.25,0.03,0.17,0.12,0.15,0.03,0.25
25,"[1008, 606, 41, 51]",0.2,0.0,0.09,0.06,0.25,0.15,0.25
26,"[1207, 159, 29, 41]",0.18,0.0,0.14,0.21,0.12,0.01,0.33
