,box,angry,disgust,fear,happy,sad,surprise,neutral
0,"[1210, 183, 29, 38]",0.13,0.0,0.15,0.12,0.28,0.09,0.23
1,"[569, 223, 241, 282]",0.2,0.0,0.34,0.1,0.18,0.01,0.17
2,"[585, 218, 233, 271]",0.4,0.0,0.24,0.06,0.15,0.0,0.14
3,"[588, 232, 222, 262]",0.2,0.0,0.41,0.05,0.17,0.0,0.17
4,"[577, 255, 215, 253]",0.16,0.0,0.12,0.06,0.11,0.01,0.54
5,"[549, 325, 260, 326]",0.02,0.0,0.05,0.48,0.24,0.0,0.21
6,"[1205, 161, 34, 46]",0.12,0.0,0.13,0.02,0.26,0.07,0.4
7,"[535, 325, 275, 340]",0.01,0.0,0.05,0.76,0.11,0.0,0.07
8,"[724, 368, 228, 281]",0.01,0.0,0.02,0.89,0.04,0.0,0.04
9,"[717, 358, 231, 283]",0.03,0.0,0.04,0.59,0.14,0.01,0.2
10,"[1208, 229, 34, 48]",0.1,0.0,0.07,0.07,0.52,0.03,0.21
11,"[988, 643, 24, 28]",0.25,0.0,0.12,0.1,0.24,0.03,0.26
12,"[1007, 670, 24, 28]",0.25,0.0,0.09,0.03,0.53,0.01,0.09
13,"[1209, 161, 32, 43]",0.14,0.0,0.13,0.16,0.27,0.04,0.26
14,"[1217, 204, 24, 34]",0.21,0.0,0.15,0.05,0.26,0.06,0.27
15,"[1215, 160, 24, 37]",0.18,0.04,0.16,0.1,0.27,0.04,0.22
16,"[1213, 195, 26, 36]",0.16,0.0,0.16,0.08,0.22,0.06,0.32
17,"[1211, 174, 27, 37]",0.15,0.0,0.13,0.15,0.34,0.09,0.15
18,"[1227, 589, 31, 42]",0.14,0.0,0.09,0.1,0.4,0.17,0.11
19,"[1207, 164, 29, 39]",0.09,0.01,0.16,0.02,0.2,0.08,0.45
20,"[1045, 526, 28, 40]",0.12,0.0,0.07,0.17,0.25,0.2,0.19
21,"[1083, 612, 20, 26]",0.05,0.0,0.07,0.05,0.31,0.32,0.22
22,"[1210, 158, 26, 37]",0.07,0.08,0.24,0.08,0.15,0.04,0.34
23,"[1093, 623, 27, 36]",0.06,0.0,0.06,0.19,0.43,0.06,0.19
24,"[1188, 665, 25, 27]",0.04,0.0,0.09,0.03,0.64,0.0,0.19
25,"[1213, 207, 26, 36]",0.02,0.0,0.15,0.13,0.29,0.13,0.28
26,"[1057, 615, 66, 84]",0.17,0.0,0.3,0.01,0.27,0.16,0.1
27,"[1079, 635, 42, 58]",0.3,0.0,0.12,0.01,0.46,0.02,0.09
28,"[398, 614, 63, 75]",0.28,0.0,0.1,0.2,0.07,0.0,0.35
29,"[1117, 647, 23, 33]",0.25,0.0,0.12,0.04,0.21,0.18,0.21
30,"[100, 646, 24, 33]",0.1,0.0,0.11,0.1,0.29,0.04,0.35
31,"[1114, 677, 17, 25]",0.1,0.0,0.19,0.05,0.37,0.03,0.25
32,"[749, 295, 228, 283]",0.05,0.0,0.03,0.72,0.07,0.01,0.11
33,"[1206, 162, 32, 41]",0.11,0.0,0.31,0.11,0.25,0.06,0.15
34,"[1210, 228, 24, 36]",0.12,0.0,0.13,0.16,0.2,0.02,0.37
35,"[532, 254, 230, 259]",0.3,0.0,0.28,0.16,0.09,0.0,0.16
36,"[523, 250, 228, 261]",0.27,0.0,0.16,0.17,0.17,0.0,0.21
37,"[544, 259, 224, 258]",0.2,0.0,0.23,0.16,0.18,0.01,0.22
38,"[602, 260, 195, 232]",0.08,0.0,0.24,0.05,0.27,0.01,0.35
39,"[1223, 158, 17, 23]",0.25,0.01,0.3,0.06,0.18,0.04,0.16
40,"[914, 675, 18, 25]",0.18,0.0,0.09,0.28,0.26,0.05,0.14
41,"[1216, 167, 21, 29]",0.18,0.0,0.29,0.06,0.21,0.02,0.23
42,"[535, 332, 217, 272]",0.04,0.0,0.07,0.55,0.13,0.0,0.21
43,"[537, 338, 214, 262]",0.06,0.0,0.1,0.47,0.11,0.01,0.25
44,"[539, 340, 212, 257]",0.04,0.0,0.11,0.41,0.15,0.0,0.28
45,"[537, 335, 215, 263]",0.03,0.0,0.08,0.52,0.08,0.0,0.27
